reviews,lemmas,lemmas,aspectCategory
"He can't help, they're bought up so fast.","['help', 'buy', 'fast']","['help', 'buy', 'fast']",anecdotes/miscellaneous
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","['night', 'place', 'east', 'perfum', 'overwhelm', 'upper', 'side', 'secondli', 'ladi']","['night', 'place', 'east', 'perfum', 'overwhelm', 'upper', 'side', 'secondli', 'ladi']",ambience
"i have eaten here a handful of times, for no reason besides sheer convenience.","['hand', 'eat', 'reason', 'time', 'conveni', 'sheer', 'besid']","['hand', 'eat', 'reason', 'time', 'conveni', 'sheer', 'besid']",anecdotes/miscellaneous
Obviously run by folks who know a pie.,"['obvious', 'run', 'pie', 'folk', 'know']","['obvious', 'run', 'pie', 'folk', 'know']",service
We were very disappointed.,['disappoint'],['disappoint'],anecdotes/miscellaneous
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"['special', 'definit', 'afford']","['special', 'definit', 'afford']",anecdotes/miscellaneous
I really liked this place.,"['like', 'place', 'realli']","['like', 'place', 'realli']",anecdotes/miscellaneous
I will be going back very soon.,"['go', 'back', 'soon']","['go', 'back', 'soon']",anecdotes/miscellaneous
"All the money went into the interior decoration, none of it went to the chefs.","['decor', 'money', 'none', 'go', 'chef', 'interior']","['decor', 'money', 'none', 'go', 'chef', 'interior']",ambience
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"['bench', 'uncomfort', 'wooden', 'wall', 'seat', 'sit']","['bench', 'uncomfort', 'wooden', 'wall', 'seat', 'sit']",ambience
"I asked for seltzer with lime, no ice.","['ice', 'seltzer', 'lime', 'ask']","['ice', 'seltzer', 'lime', 'ask']",food
It was pretty inexpensive too.,"['inexpens', 'pretti']","['inexpens', 'pretti']",price
Will not be back.,['back'],['back'],anecdotes/miscellaneous
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","['alon', 'enough', 'peopl', 'two', 'meat', 'seafood', 'go', 'experi', 'select', 'pickl', 'whole', 'even']","['alon', 'enough', 'peopl', 'two', 'meat', 'seafood', 'go', 'experi', 'select', 'pickl', 'whole', 'even']",food
My suggestion is to eat family style because you'll want to try the other dishes.,"['want', 'eat', 'dish', 'tri', 'style', 'famili', 'suggest']","['want', 'eat', 'dish', 'tri', 'style', 'famili', 'suggest']",food
"Best of all is the warm vibe, the owner is super friendly and service is fast.","['warm', 'best', 'super', 'owner', 'servic', 'fast', 'vibe', 'friendli']","['warm', 'best', 'super', 'owner', 'servic', 'fast', 'vibe', 'friendli']",service
This isn't a value joint.,"['joint', 'valu']","['joint', 'valu']",price
Faan's got a great concept but a little rough on the delivery.,"['get', 'littl', 'faan', 'concept', 'rough', 'deliveri', 'great']","['get', 'littl', 'faan', 'concept', 'rough', 'deliveri', 'great']",anecdotes/miscellaneous
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","['warm', 'downtown', 'miss', 'neighborhood', 'servic', 'food', 'beat', 'atmospher', 'spot', 'friendli', 'incred']","['warm', 'downtown', 'miss', 'neighborhood', 'servic', 'food', 'beat', 'atmospher', 'spot', 'friendli', 'incred']",food
"Great food at REASONABLE prices, makes for an evening that can't be beat!","['make', 'reason', 'food', 'price', 'beat', 'great', 'even']","['make', 'reason', 'food', 'price', 'beat', 'great', 'even']",food
Look foward to trying the Ruben upon returning.,"['upon', 'tri', 'return', 'ruben', 'foward', 'look']","['upon', 'tri', 'return', 'ruben', 'foward', 'look']",anecdotes/miscellaneous
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"['strip', 'candl', 'seem', 'steakhous', 'roth', 'hous', 'hold']","['strip', 'candl', 'seem', 'steakhous', 'roth', 'hous', 'hold']",anecdotes/miscellaneous
We usually go to the Chart House to celebrate a birthday or anniversary.,"['celebr', 'anniversari', 'usual', 'go', 'hous', 'chart', 'birthday']","['celebr', 'anniversari', 'usual', 'go', 'hous', 'chart', 'birthday']",anecdotes/miscellaneous
this little place has a cute interior decor and affordable city prices.,"['decor', 'citi', 'afford', 'place', 'littl', 'price', 'cute', 'interior']","['decor', 'citi', 'afford', 'place', 'littl', 'price', 'cute', 'interior']",ambience
You'll adore it.,['ador'],['ador'],anecdotes/miscellaneous
Two words: Free wine.,"['free', 'two', 'wine', 'word']","['free', 'two', 'wine', 'word']",price
The price is reasonable although the service is poor.,"['poor', 'reason', 'servic', 'although', 'price']","['poor', 'reason', 'servic', 'although', 'price']",service
"The quantity is also very good, you will come out satisfied.","['come', 'good', 'satisfi', 'also', 'quantiti']","['come', 'good', 'satisfi', 'also', 'quantiti']",food
I have been to Roth's twice and both times were very disappointing.,"['time', 'roth', 'twice', 'disappoint']","['time', 'roth', 'twice', 'disappoint']",anecdotes/miscellaneous
Worth visiting the 1st Ave spot because it is the original store.,"['origin', 'store', 'worth', 'spot', 'visit', 'st', 'ave']","['origin', 'store', 'worth', 'spot', 'visit', 'st', 'ave']",anecdotes/miscellaneous
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","['upon', 'lover', 'stumbl', 'bar', 'friend', 'floor', 'two', 'seriou', 'sushi', 'closer', 'l', 'action', 'second', 'sit', 'walk', 'ago', 'town', 'friday']","['upon', 'lover', 'stumbl', 'bar', 'friend', 'floor', 'two', 'seriou', 'sushi', 'closer', 'l', 'action', 'second', 'sit', 'walk', 'ago', 'town', 'friday']",anecdotes/miscellaneous
"Raga's is a romantic, cozy restaurant.","['restaur', 'cozi', 'raga', 'romant']","['restaur', 'cozi', 'raga', 'romant']",ambience
The fried rice is amazing here.,"['rice', 'amaz', 'fri']","['rice', 'amaz', 'fri']",food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","['hanger', 'three', 'world', 'poivr', 'includ', 'salad', 'choic', 'pastri', 'dress', 'steak', 'cours', 'excel', 'au', 'goat', 'puff', 'chees', 'mussel', 'delici']","['hanger', 'three', 'world', 'poivr', 'includ', 'salad', 'choic', 'pastri', 'dress', 'steak', 'cours', 'excel', 'au', 'goat', 'puff', 'chees', 'mussel', 'delici']",food
it's a perfect place to have a amanzing indian food.,"['indian', 'place', 'food', 'amanz', 'perfect']","['indian', 'place', 'food', 'amanz', 'perfect']",food
The place is so cool and the service is prompt and curtious.,"['cool', 'place', 'servic', 'prompt', 'curtiou']","['cool', 'place', 'servic', 'prompt', 'curtiou']",service
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"['end', 'noodl', 'slurp', 'cup', 'broth', 'mild', 'leav']","['end', 'noodl', 'slurp', 'cup', 'broth', 'mild', 'leav']",food
I just wonder how you can have such a delicious meal for such little money.,"['money', 'littl', 'meal', 'wonder', 'delici']","['money', 'littl', 'meal', 'wonder', 'delici']",price
The food was delicious but do not come here on a empty stomach.,"['come', 'food', 'stomach', 'empti', 'delici']","['come', 'food', 'stomach', 'empti', 'delici']",food
The wine list is excellent.,"['list', 'excel', 'wine']","['list', 'excel', 'wine']",food
so garantuan that you can't fit them in a toaster.,"['toaster', 'fit', 'garantuan']","['toaster', 'fit', 'garantuan']",food
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","['ive', 'thai', 'best', 'far', 'mani', 'food', 'except', 'mom', 'cours', 'toon', 'manhattan', 'restaur']","['ive', 'thai', 'best', 'far', 'mani', 'food', 'except', 'mom', 'cours', 'toon', 'manhattan', 'restaur']",food
They wouldnt even let me finish my glass of wine before offering another.,"['anoth', 'let', 'wine', 'wouldnt', 'offer', 'finish', 'glass', 'even']","['anoth', 'let', 'wine', 'wouldnt', 'offer', 'finish', 'glass', 'even']",service
I highly recommend the Sophia pizza.,"['sophia', 'recommend', 'pizza', 'highli']","['sophia', 'recommend', 'pizza', 'highli']",anecdotes/miscellaneous
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","['detail', 'question', 'whem', 'special', 'ask', 'know']","['detail', 'question', 'whem', 'special', 'ask', 'know']",service
This is a consistently great place to dine for lunch or dinner.,"['place', 'dine', 'consist', 'dinner', 'lunch', 'great']","['place', 'dine', 'consist', 'dinner', 'lunch', 'great']",anecdotes/miscellaneous
"Nice atmosphere, the service was very pleasant and the desert was good.","['servic', 'desert', 'pleasant', 'atmospher', 'nice', 'good']","['servic', 'desert', 'pleasant', 'atmospher', 'nice', 'good']",food
All the people that I bring there go back on their own and bring THEIR friends!,"['back', 'peopl', 'friend', 'bring', 'go']","['back', 'peopl', 'friend', 'bring', 'go']",anecdotes/miscellaneous
After really enjoying ourselves at the bar we sat down at a table and had dinner.,"['enjoy', 'bar', 'tabl', 'dinner', 'sit', 'realli']","['enjoy', 'bar', 'tabl', 'dinner', 'sit', 'realli']",anecdotes/miscellaneous
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","['fantast', 'chill', 'servic', 'food', 'environ', 'fabul', 'atmospher']","['fantast', 'chill', 'servic', 'food', 'environ', 'fabul', 'atmospher']",food
Not what I wanted to hear.,"['want', 'hear']","['want', 'hear']",anecdotes/miscellaneous
Try the lasagnette appetizer.,"['appet', 'lasagnett', 'tri']","['appet', 'lasagnett', 'tri']",food
"Pricey, but worth a try, at least once.","['worth', 'least', 'tri', 'pricey']","['worth', 'least', 'tri', 'pricey']",price
"I've been there a few times, and I usually end up sitting next to some pretty odd people.","['next', 'end', 'peopl', 'time', 'odd', 'usual', 'sit', 'pretti']","['next', 'end', 'peopl', 'time', 'odd', 'usual', 'sit', 'pretti']",anecdotes/miscellaneous
I liked the beer selection!,"['like', 'beer', 'select']","['like', 'beer', 'select']",food
"Great food, good size menu, great service and an unpretensious setting.","['unpretensi', 'good', 'servic', 'food', 'size', 'set', 'menu', 'great']","['unpretensi', 'good', 'servic', 'food', 'size', 'set', 'menu', 'great']",food
Go here for a romantic dinner but not for an all out wow dining experience.,"['wow', 'din', 'go', 'dinner', 'experi', 'romant']","['wow', 'din', 'go', 'dinner', 'experi', 'romant']",anecdotes/miscellaneous
Can't wait to go back.,"['go', 'back', 'wait']","['go', 'back', 'wait']",anecdotes/miscellaneous
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"['ny', 'eat', 'place', 'grow', 'tast', 'satisfi', 'yet', 'dosa', 'bud', 'find']","['ny', 'eat', 'place', 'grow', 'tast', 'satisfi', 'yet', 'dosa', 'bud', 'find']",anecdotes/miscellaneous
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"['top', 'wine', 'list', 'select', 'fill', 'glass', 'gener', 'good']","['top', 'wine', 'list', 'select', 'fill', 'glass', 'gener', 'good']",food
"With the great variety on the menu , I eat here often and never get bored .","['bore', 'eat', 'varieti', 'get', 'often', 'never', 'menu', 'great']","['bore', 'eat', 'varieti', 'get', 'often', 'never', 'menu', 'great']",food
The menu is very limited - i think we counted 4 or 5 entrees.,"['think', 'entre', 'limit', 'count', 'menu']","['think', 'entre', 'limit', 'count', 'menu']",food
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","['hungri', 'come', 'carnivor', 'satisfi', 'leav', 'ever']","['hungri', 'come', 'carnivor', 'satisfi', 'leav', 'ever']",anecdotes/miscellaneous
The menu is limited but almost all of the dishes are excellent.,"['limit', 'dish', 'almost', 'excel', 'menu']","['limit', 'dish', 'almost', 'excel', 'menu']",food
Not too crazy about their sake martini.,"['crazi', 'sake', 'martini']","['crazi', 'sake', 'martini']",food
"Great bagels, spreads and a good place to hang out in.","['place', 'spread', 'great', 'hang', 'good', 'bagel']","['place', 'spread', 'great', 'hang', 'good', 'bagel']",food
"The service varys from day to day- sometimes they're very nice, and sometimes not.","['sometim', 'servic', 'day', 'vari', 'nice']","['sometim', 'servic', 'day', 'vari', 'nice']",service
"whoever the jazz duo was, they were on POINT.","['point', 'jazz', 'whoever', 'duo']","['point', 'jazz', 'whoever', 'duo']",ambience
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"['thing', 'place', 'felt', 'guest', 'rush', 'give', 'pressur', 'tabl', 'like', 'ot', 'never', 'incom', 'one']","['thing', 'place', 'felt', 'guest', 'rush', 'give', 'pressur', 'tabl', 'like', 'ot', 'never', 'incom', 'one']",service
This place is a great bargain.,"['bargain', 'great', 'place']","['bargain', 'great', 'place']",price
We happened upon this place purely by accident and were pleased with the results.,"['upon', 'pleas', 'pure', 'place', 'accid', 'happen', 'result']","['upon', 'pleas', 'pure', 'place', 'accid', 'happen', 'result']",anecdotes/miscellaneous
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","['unfortun', 'food', 'pit', 'everyth', 'els', 'outstand', 'restaur']","['unfortun', 'food', 'pit', 'everyth', 'els', 'outstand', 'restaur']",food
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"['new', 'two', 'guess', 'tri', 'bukhara', 'deff', 'ill', 'also', 'locat', 'recimmend', 'open']","['new', 'two', 'guess', 'tri', 'bukhara', 'deff', 'ill', 'also', 'locat', 'recimmend', 'open']",anecdotes/miscellaneous
We always have a delicious meal and always leave feeling satisfied.,"['feel', 'satisfi', 'leav', 'meal', 'alway', 'delici']","['feel', 'satisfi', 'leav', 'meal', 'alway', 'delici']",food
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","['around', 'chopstick', 'eat', 'ingredi', 'swirl', 'dip']","['around', 'chopstick', 'eat', 'ingredi', 'swirl', 'dip']",food
First went here to enjoy their garden terrace.,"['enjoy', 'terrac', 'first', 'go', 'garden']","['enjoy', 'terrac', 'first', 'go', 'garden']",ambience
"My husbands was perfect, my was well done and dry.","['husband', 'dri', 'well', 'perfect', 'do']","['husband', 'dri', 'well', 'perfect', 'do']",food
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","['speak', 'extra', 'mile', 'super', 'help', 'will', 'custom', 'everyon', 'friendli']","['speak', 'extra', 'mile', 'super', 'help', 'will', 'custom', 'everyon', 'friendli']",service
The pizza was pretty good and huge.,"['pizza', 'huge', 'pretti', 'good']","['pizza', 'huge', 'pretti', 'good']",food
Sapphire is the only Indian restaurant I go to when I'm in NYC.,"['indian', 'nyc', 'sapphir', 'go', 'restaur']","['indian', 'nyc', 'sapphir', 'go', 'restaur']",anecdotes/miscellaneous
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","['taiwanes', 'cuisin', 'gather', 'though', 'accustom', 'taipei', 'differ', 'authent']","['taiwanes', 'cuisin', 'gather', 'though', 'accustom', 'taipei', 'differ', 'authent']",food
I heartily recommend.,"['recommend', 'heartili']","['recommend', 'heartili']",anecdotes/miscellaneous
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"['breweri', 'catch', 'nyc', 'make', 'place', 'best', 'old', 'far', 'new', 'friend', 'heartland', 'one']","['breweri', 'catch', 'nyc', 'make', 'place', 'best', 'old', 'far', 'new', 'friend', 'heartland', 'one']",anecdotes/miscellaneous
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"['hesitit', 'would', 'becom', 'review', 'hate', 'write', 'almost', 'crowd', 'atmospher', 'great']","['hesitit', 'would', 'becom', 'review', 'hate', 'write', 'almost', 'crowd', 'atmospher', 'great']",ambience
They are often crowded on the weekends but they are efficient and accurate with their service.,"['effici', 'servic', 'often', 'crowd', 'accur', 'weekend']","['effici', 'servic', 'often', 'crowd', 'accur', 'weekend']",service
All my co-workers were amazed at how small the dish was.,"['dish', 'worker', 'amaz', 'co', 'small']","['dish', 'worker', 'amaz', 'co', 'small']",food
"The atmosphere is unheralded, the service impecible, and the food magnificant.","['magnific', 'impec', 'servic', 'food', 'unherald', 'atmospher']","['magnific', 'impec', 'servic', 'food', 'unherald', 'atmospher']",food
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","['bone', 'eat', 'special', 'difficult', 'infus', 'branzino', 'grill', 'order']","['bone', 'eat', 'special', 'difficult', 'infus', 'branzino', 'grill', 'order']",food
"The wait staff is friendly, and the food has gotten better and better!","['staff', 'get', 'food', 'better', 'friendli', 'wait']","['staff', 'get', 'food', 'better', 'friendli', 'wait']",food
"This place, which is only a few months old, is perhaps Queens' biggest secret!","['place', 'old', 'biggest', 'queen', 'secret', 'month', 'perhap']","['place', 'old', 'biggest', 'queen', 'secret', 'month', 'perhap']",anecdotes/miscellaneous
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","['area', 'bite', 'french', 'good', 'best', 'find', 'food', 'pack', 'vibe', 'weekend', 'may']","['area', 'bite', 'french', 'good', 'best', 'find', 'food', 'pack', 'vibe', 'weekend', 'may']",food
This place is so much fun.,"['much', 'fun', 'place']","['much', 'fun', 'place']",anecdotes/miscellaneous
I was glad I did.,['glad'],['glad'],anecdotes/miscellaneous
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"['place', 'pizza', 'right', 'nice', 'cozi', 'l', 'good', 'brooklyn']","['place', 'pizza', 'right', 'nice', 'cozi', 'l', 'good', 'brooklyn']",food
I've never been treated so rudely.,"['rude', 'treat', 'never']","['rude', 'treat', 'never']",service
I'll be back soon.,"['back', 'soon']","['back', 'soon']",anecdotes/miscellaneous
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"['menu', 'le', 'pre', 'outstand', 'pere', 'theater', 'pinard']","['menu', 'le', 'pre', 'outstand', 'pere', 'theater', 'pinard']",food
Went inside and I started to get excited.,"['excit', 'get', 'go', 'insid', 'start']","['excit', 'get', 'go', 'insid', 'start']",anecdotes/miscellaneous
I also ordered for delivery and the restaurant forgot half the order.,"['forget', 'also', 'half', 'deliveri', 'order', 'restaur']","['forget', 'also', 'half', 'deliveri', 'order', 'restaur']",service
Our server checked on us maybe twice during the entire meal.,"['check', 'mayb', 'meal', 'server', 'entir', 'us', 'twice']","['check', 'mayb', 'meal', 'server', 'entir', 'us', 'twice']",service
"However, it is jus too good to not praise it.","['ju', 'howev', 'prais', 'good']","['ju', 'howev', 'prais', 'good']",anecdotes/miscellaneous
We have been to Montparnasse many times and return often for good reason.,"['time', 'reason', 'mani', 'return', 'montparnass', 'often', 'good']","['time', 'reason', 'mani', 'return', 'montparnass', 'often', 'good']",anecdotes/miscellaneous
The strong scents coming from the left and right of me negatively affected my taste buds.,"['come', 'tast', 'scent', 'neg', 'strong', 'right', 'leav', 'bud', 'affect']","['come', 'tast', 'scent', 'neg', 'strong', 'right', 'leav', 'bud', 'affect']",anecdotes/miscellaneous
We had the lobster sandwich and it was FANTASTIC.,"['lobster', 'fantast', 'sandwich']","['lobster', 'fantast', 'sandwich']",food
It's somewhere you can eat and be happy.,"['eat', 'happi', 'somewher']","['eat', 'happi', 'somewher']",anecdotes/miscellaneous
"If you wrote a bad review, it's because you don't understand what Rao's is all about.","['review', 'bad', 'write', 'understand', 'rao']","['review', 'bad', 'write', 'understand', 'rao']",anecdotes/miscellaneous
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","['could', 'come', 'stall', 'check', 'understand', 'bring', 'hour', 'yet', 'less', 'us', 'even']","['could', 'come', 'stall', 'check', 'understand', 'bring', 'hour', 'yet', 'less', 'us', 'even']",service
but overall i give it a 10,"['overal', 'give']","['overal', 'give']",anecdotes/miscellaneous
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","['roll', 'challeng', 'eat', 'shell', 'soft', 'though', 'price', 'well', 'worth', 'pay', 'like', 'crab', 'look', 'hang', 'may', 'spider']","['roll', 'challeng', 'eat', 'shell', 'soft', 'though', 'price', 'well', 'worth', 'pay', 'like', 'crab', 'look', 'hang', 'may', 'spider']",food
Deep Fried Skewers are good and still rare to find in NYC.,"['nyc', 'good', 'find', 'deep', 'still', 'skewer', 'fri', 'rare']","['nyc', 'good', 'find', 'deep', 'still', 'skewer', 'fri', 'rare']",food
"I have tried to make reservations, but both times, the hostess didn't have my name.","['name', 'make', 'time', 'tri', 'reserv', 'host']","['name', 'make', 'time', 'tri', 'reserv', 'host']",service
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"['varieti', 'dish', 'recommend', 'conge', 'rice', 'also', 'porridg', 'differ']","['varieti', 'dish', 'recommend', 'conge', 'rice', 'also', 'porridg', 'differ']",food
Their tuna tartar appetizer is to die for.,"['appet', 'tartar', 'tuna', 'die']","['appet', 'tartar', 'tuna', 'die']",food
This was one of the BEST restaurants I've ever been to.,"['best', 'ever', 'one', 'restaur']","['best', 'ever', 'one', 'restaur']",anecdotes/miscellaneous
This restaurant used to be pretty decent.,"['decent', 'use', 'pretti', 'restaur']","['decent', 'use', 'pretti', 'restaur']",anecdotes/miscellaneous
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","['cuisin', 'new', 'soup', 'reach', 'precis', 'pinnacl', 'passion', 'chef', 'oasi', 'dish', 'though', 'food', 'evid', 'somewhat', 'fish', 'often', 'kitchen', 'execut', 'refin', 'fine', 'american', 'uneven']","['cuisin', 'new', 'soup', 'reach', 'precis', 'pinnacl', 'passion', 'chef', 'oasi', 'dish', 'though', 'food', 'evid', 'somewhat', 'fish', 'often', 'kitchen', 'execut', 'refin', 'fine', 'american', 'uneven']",food
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","['french', 'wine', 'artisan', 'fare', 'love', 'chees', 'delici']","['french', 'wine', 'artisan', 'fare', 'love', 'chees', 'delici']",food
I love Indian food and consider myself to be quite an expert on it.,"['indian', 'consid', 'food', 'quit', 'love', 'expert']","['indian', 'consid', 'food', 'quit', 'love', 'expert']",food
Some baby pizzas get their wish.,"['pizza', 'babi', 'wish', 'get']","['pizza', 'babi', 'wish', 'get']",food
Plenty of choices to make your own creation.,"['choic', 'plenti', 'make', 'creation']","['choic', 'plenti', 'make', 'creation']",food
It was tiny and I felt like I was eating in someone's living room.,"['live', 'room', 'someon', 'eat', 'felt', 'tini', 'like']","['live', 'room', 'someon', 'eat', 'felt', 'tini', 'like']",ambience
I was there on sat.,['sit'],['sit'],anecdotes/miscellaneous
Overall A oh ya even though there is waiting it is deff worth it,"['oh', 'though', 'worth', 'deff', 'wait', 'overal', 'ya', 'even']","['oh', 'though', 'worth', 'deff', 'wait', 'overal', 'ya', 'even']",anecdotes/miscellaneous
The lava cake dessert was incredible and I recommend it.,"['dessert', 'recommend', 'lava', 'cake', 'incred']","['dessert', 'recommend', 'lava', 'cake', 'incred']",food
VT is what baby pizzas hope to be when they grow up.,"['hope', 'pizza', 'grow', 'babi', 'vt']","['hope', 'pizza', 'grow', 'babi', 'vt']",anecdotes/miscellaneous
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","['terribl', 'manag', 'bland', 'servic', 'food', 'horribl', 'mention', 'unaccommod', 'experi', 'overal']","['terribl', 'manag', 'bland', 'servic', 'food', 'horribl', 'mention', 'unaccommod', 'experi', 'overal']",food
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"['night', 'amount', 'dollar', 'place', 'four', 'get', 'tasti', 'lahor', 'need', 'food', 'cheap', 'like', 'finish', 'duck', 'late', 'troubl', 'great', 'realli']","['night', 'amount', 'dollar', 'place', 'four', 'get', 'tasti', 'lahor', 'need', 'food', 'cheap', 'like', 'finish', 'duck', 'late', 'troubl', 'great', 'realli']",food
The last time I went we were seated at a table in a corridor next to the kitchen.,"['next', 'kitchen', 'time', 'tabl', 'corridor', 'seat', 'last', 'go']","['next', 'kitchen', 'time', 'tabl', 'corridor', 'seat', 'last', 'go']",anecdotes/miscellaneous
good selection of wines ranging from affordable to high end.,"['afford', 'end', 'win', 'select', 'rang', 'high', 'good']","['afford', 'end', 'win', 'select', 'rang', 'high', 'good']",food
