reviews,lemmas,ufeat,aspectCategory
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"['would', 'neighborhood', 'haunt', 'mari', 'make', 'one', 'regular', 'definit', 'recommend']","['i recommend', 'definitely recommend', 'it one', 'recommend mary', 'regular haunts', 'regular neighborhood', 'mary recommend']",anecdotes/miscellaneous
The pizza is the best if you like thin crusted pizza.,"['best', 'crust', 'pizza', 'thin', 'like']","['thin crusted', 'crusted pizza', 'you like', 'pizza like', 'thin pizza', 'pizza is']",food
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"['time', 'stumbl', 'night', 'great', 'place', 'onto', 'hop', 'girlfriend']","['other night', 'great time', 'hopping place', 'time had', 'i stumbled']",anecdotes/miscellaneous
"He can't help, they're bought up so fast.","['help', 'buy', 'fast']","['', 'he help', ""n't help"", 'they bought']",anecdotes/miscellaneous
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","['secondli', 'upper', 'perfum', 'night', 'east', 'ladi', 'place', 'overwhelm', 'side']","['place overwhelmed', 'upper east', 'east side', 'upper perfume']",ambience
"i have eaten here a handful of times, for no reason besides sheer convenience.","['hand', 'sheer', 'time', 'conveni', 'eat', 'reason', 'besid']","['i eaten', 'sheer convenience', 'handful eaten']",anecdotes/miscellaneous
Obviously run by folks who know a pie.,"['obvious', 'run', 'folk', 'know', 'pie']","['obviously run', 'pie know', 'who know']",service
We were very disappointed.,['disappoint'],"['very disappointed', 'we were']",anecdotes/miscellaneous
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"['special', 'definit', 'afford']","['definitely special', 'it is']",anecdotes/miscellaneous
I really liked this place.,"['like', 'realli', 'place']","['i liked', 'place liked', 'really liked']",anecdotes/miscellaneous
I will be going back very soon.,"['back', 'soon', 'go']","['very soon', 'i going', 'back very']",anecdotes/miscellaneous
"All the money went into the interior decoration, none of it went to the chefs.","['decor', 'money', 'none', 'chef', 'go', 'interior']","['interior decoration', 'none went', 'money went']",ambience
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"['uncomfort', 'wall', 'bench', 'sit', 'wooden', 'seat']","['wooden benches', 'you sitting', 'seats are']",ambience
"I asked for seltzer with lime, no ice.","['ice', 'lime', 'seltzer', 'ask']",['i asked'],food
It was pretty inexpensive too.,"['pretti', 'inexpens']","['it was', 'pretty inexpensive']",price
Will not be back.,['back'],['not be'],anecdotes/miscellaneous
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","['seafood', 'meat', 'pickl', 'experi', 'even', 'select', 'go', 'whole', 'two', 'peopl', 'alon', 'enough']","['', ""n't is"", ""n't go"", ""n't enough"", 'people is']",food
My suggestion is to eat family style because you'll want to try the other dishes.,"['famili', 'eat', 'tri', 'dish', 'style', 'suggest', 'want']","['other dishes', 'style eat', 'dishes try', 'suggestion is', 'eat family', 'you want']",food
"Best of all is the warm vibe, the owner is super friendly and service is fast.","['best', 'servic', 'friendli', 'fast', 'warm', 'owner', 'super', 'vibe']","['owner is', 'warm vibe', 'service is']",service
This isn't a value joint.,"['valu', 'joint']","['this is', ""n't is""]",price
Faan's got a great concept but a little rough on the delivery.,"['concept', 'faan', 'get', 'rough', 'deliveri', 'great', 'littl']","['little rough', 'great concept', 'concept got', 'faan got']",anecdotes/miscellaneous
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","['servic', 'beat', 'atmospher', 'spot', 'neighborhood', 'warm', 'incred', 'food', 'friendli', 'miss', 'downtown']","['downtown neighborhood', 'incredible food', 'beat miss', 'spot miss', ""n't miss"", 'warm atmosphere', 'friendly service']",food
"Great food at REASONABLE prices, makes for an evening that can't be beat!","['price', 'even', 'reason', 'great', 'make', 'food', 'beat']","['food makes', 'that beat', ""n't be"", 'great food', 'reasonable prices', ""n't beat""]",food
Look foward to trying the Ruben upon returning.,"['upon', 'return', 'ruben', 'look', 'tri', 'foward']","['ruben trying', 'look foward']",anecdotes/miscellaneous
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"['candl', 'strip', 'seem', 'hous', 'hold', 'roth', 'steakhous']","['steakhouse is', 'that seems', 'only other', 'candle hold', 'only steakhouse', 'other steakhouse']",anecdotes/miscellaneous
We usually go to the Chart House to celebrate a birthday or anniversary.,"['birthday', 'chart', 'anniversari', 'hous', 'usual', 'go', 'celebr']","['we go', 'usually go', 'birthday celebrate']",anecdotes/miscellaneous
this little place has a cute interior decor and affordable city prices.,"['decor', 'afford', 'price', 'cute', 'place', 'littl', 'citi', 'interior']","['affordable city', 'cute interior', 'place has', 'interior decor', 'affordable prices', 'little place', 'cute decor', 'decor has']",ambience
You'll adore it.,['ador'],"['you adore', 'it adore']",anecdotes/miscellaneous
Two words: Free wine.,"['word', 'wine', 'free', 'two']",['free wine'],price
The price is reasonable although the service is poor.,"['poor', 'servic', 'price', 'reason', 'although']","['price is', 'service is']",service
"The quantity is also very good, you will come out satisfied.","['good', 'satisfi', 'quantiti', 'also', 'come']","['', 'you come', 'very good', 'quantity is']",food
I have been to Roth's twice and both times were very disappointing.,"['twice', 'time', 'roth', 'disappoint']","['i been', 'times were', 'very disappointing']",anecdotes/miscellaneous
Worth visiting the 1st Ave spot because it is the original store.,"['st', 'worth', 'origin', 'spot', 'ave', 'visit', 'store']","['spot visiting', 'worth visiting', 'it is', 'original store', 'ave spot', '1st visiting']",anecdotes/miscellaneous
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","['upon', 'second', 'town', 'stumbl', 'bar', 'action', 'floor', 'two', 'friend', 'sushi', 'closer', 'ago', 'walk', 'friday', 'seriou', 'sit', 'l', 'lover']","['second floor', 'i was', 'serious sushi', 'floor walk-up', 'we sat', 'i stumbled', 'serious lovers']",anecdotes/miscellaneous
"Raga's is a romantic, cozy restaurant.","['restaur', 'romant', 'raga', 'cozi']","['cozy restaurant', 'romantic restaurant']",ambience
The fried rice is amazing here.,"['fri', 'amaz', 'rice']","['', 'rice is']",food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","['delici', 'excel', 'mussel', 'steak', 'poivr', 'includ', 'dress', 'hanger', 'pastri', 'puff', 'au', 'choic', 'goat', 'chees', 'world', 'salad', 'three', 'cours']","['puff pastry', 'hanger steak', 'that is', 'poivre include', 'excellent mussels', 'mussels include', 'delicious dressing', 'choices include']",food
it's a perfect place to have a amanzing indian food.,"['perfect', 'amanz', 'indian', 'food', 'place']","[""it 's"", 'amanzing food', 'perfect place', 'food have', 'indian food']",food
The place is so cool and the service is prompt and curtious.,"['servic', 'prompt', 'cool', 'curtiou', 'place']","['', 'place is', 'service is']",service
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"['leav', 'mild', 'slurp', 'end', 'cup', 'noodl', 'broth']","['you left', 'mild broth', 'you slurp']",food
I just wonder how you can have such a delicious meal for such little money.,"['wonder', 'money', 'meal', 'delici', 'littl']","['delicious meal', 'meal have', 'such little', 'i wonder', 'little money', 'you have', 'just wonder', 'such money']",price
The food was delicious but do not come here on a empty stomach.,"['stomach', 'food', 'empti', 'delici', 'come']","['food was', 'empty stomach', 'not come']",food
The wine list is excellent.,"['excel', 'list', 'wine']","['list is', 'wine list']",food
so garantuan that you can't fit them in a toaster.,"['fit', 'toaster', 'garantuan']","['them fit', 'you fit', 'so garantuan', ""n't fit""]",food
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","['best', 'except', 'mom', 'thai', 'toon', 'cours', 'far', 'food', 'restaur', 'manhattan', 'ive', 'mani']","['many restaurants', 'i been', 'ive been', 'thai restaurants', 'best food', 'thai food', 'best thai', 'toons is', 'i had', 'many thai']",food
They wouldnt even let me finish my glass of wine before offering another.,"['finish', 'anoth', 'glass', 'even', 'wouldnt', 'offer', 'let', 'wine']","['me finish', 'even let', 'another offering', 'glass finish', 'they let']",service
I highly recommend the Sophia pizza.,"['highli', 'pizza', 'sophia', 'recommend']","['highly recommend', 'pizza recommend', 'i recommend']",anecdotes/miscellaneous
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","['question', 'detail', 'ask', 'special', 'know', 'whem']","['we knew', 'more detailed', 'we had', 'specials were', 'whem asked', 'questions ask', 'detailed questions']",service
This is a consistently great place to dine for lunch or dinner.,"['dinner', 'lunch', 'consist', 'great', 'place', 'dine']","['great place', 'this is', 'consistently great']",anecdotes/miscellaneous
"Nice atmosphere, the service was very pleasant and the desert was good.","['good', 'servic', 'nice', 'atmospher', 'desert', 'pleasant']","['very pleasant', 'nice atmosphere', 'desert was', 'service was']",food
All the people that I bring there go back on their own and bring THEIR friends!,"['bring', 'back', 'friend', 'go', 'peopl']","['there go', 'that bring', 'friends bring', 'people go', 'i bring']",anecdotes/miscellaneous
After really enjoying ourselves at the bar we sat down at a table and had dinner.,"['dinner', 'realli', 'bar', 'enjoy', 'tabl', 'sit']","['ourselves enjoying', 'dinner had', 'had dinner', 'really enjoying', 'we sat']",anecdotes/miscellaneous
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","['chill', 'servic', 'fabul', 'atmospher', 'food', 'fantast', 'environ']","['fabulous service', 'chilled atmosphere', 'fantastic food']",food
Not what I wanted to hear.,"['hear', 'want']","['not wanted', 'i wanted', 'what hear']",anecdotes/miscellaneous
Try the lasagnette appetizer.,"['appet', 'lasagnett', 'tri']",['appetizer try'],food
"Pricey, but worth a try, at least once.","['least', 'worth', 'pricey', 'tri']","['m', 'p', 't', 'y']",price
"I've been there a few times, and I usually end up sitting next to some pretty odd people.","['odd', 'pretti', 'next', 'time', 'end', 'usual', 'sit', 'peopl']","['odd people', 'few times', 'usually end', 'i been', 'i end', 'pretty odd']",anecdotes/miscellaneous
I liked the beer selection!,"['select', 'like', 'beer']","['selection liked', '']",food
"Great food, good size menu, great service and an unpretensious setting.","['good', 'servic', 'menu', 'unpretensi', 'great', 'set', 'food', 'size']","['good size', 'great service', 'unpretensious setting', 'great food']",food
Go here for a romantic dinner but not for an all out wow dining experience.,"['wow', 'dinner', 'experi', 'din', 'go', 'romant']","['out experience', 'dining experience', 'romantic dinner', 'wow dining', 'not for']",anecdotes/miscellaneous
Can't wait to go back.,"['back', 'go', 'wait']",[''],anecdotes/miscellaneous
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"['tast', 'grow', 'eat', 'ny', 'dosa', 'find', 'place', 'satisfi', 'bud', 'yet']","['', 'buds satisfy', 'dosa eating', 'place find', 'i grew']",anecdotes/miscellaneous
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"['good', 'fill', 'list', 'glass', 'select', 'top', 'gener', 'wine']","['generously filled', 'selection is', 'wine list']",food
"With the great variety on the menu , I eat here often and never get bored .","['bore', 'get', 'never', 'menu', 'eat', 'great', 'often', 'varieti']","['', 'i eat', 'great variety', 'never get']",food
The menu is very limited - i think we counted 4 or 5 entrees.,"['count', 'entre', 'think', 'menu', 'limit']","['we counted', 'i think', 'entrees counted', 'very limited', 'menu is']",food
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","['leav', 'ever', 'carnivor', 'hungri', 'satisfi', 'come']","['more satisfied', 'you leave', 'you been', 'you are', 'ever been']",anecdotes/miscellaneous
The menu is limited but almost all of the dishes are excellent.,"['excel', 'menu', 'limit', 'dish', 'almost']","['menu is', 'all are']",food
Not too crazy about their sake martini.,"['martini', 'sake', 'crazi']","['', 'too crazy', 'not crazy']",food
"Great bagels, spreads and a good place to hang out in.","['good', 'bagel', 'hang', 'great', 'place', 'spread']","['', 'good place']",food
"The service varys from day to day- sometimes they're very nice, and sometimes not.","['servic', 'day', 'nice', 'vari', 'sometim']","[""they 're"", 'sometimes not', 'very nice']",service
"whoever the jazz duo was, they were on POINT.","['duo', 'whoever', 'jazz', 'point']","['they were', '']",ambience
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"['pressur', 'felt', 'never', 'guest', 'give', 'incom', 'tabl', 'rush', 'one', 'thing', 'place', 'like', 'ot']","['ot incoming', 'i liked', 'incoming guests', 'thing is', 'never felt', 'table give', 'guests give', 'table ot', 'i felt']",service
This place is a great bargain.,"['great', 'place', 'bargain']","['place is', 'great bargain']",price
We happened upon this place purely by accident and were pleased with the results.,"['upon', 'pleas', 'accid', 'pure', 'happen', 'place', 'result']",['we happened'],anecdotes/miscellaneous
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","['outstand', 'food', 'unfortun', 'pit', 'restaur', 'everyth', 'els']","['everything is', 'food is']",food
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"['recimmend', 'open', 'bukhara', 'locat', 'guess', 'ill', 'deff', 'tri', 'new', 'two', 'also']","['also have', 'them try', 'new locations', 'bukhara recimmend', 'locations guess', 'they opened', 'deff recimmend', 'recimmend bukhara']",anecdotes/miscellaneous
We always have a delicious meal and always leave feeling satisfied.,"['alway', 'feel', 'leav', 'meal', 'satisfi', 'delici']","['delicious meal', 'meal have', 'we have', 'always have', 'always leave']",food
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","['eat', 'chopstick', 'around', 'swirl', 'dip', 'ingredi']","['ingredients dip', 'them swirl']",food
First went here to enjoy their garden terrace.,"['enjoy', 'garden', 'terrac', 'go', 'first']","['terrace enjoy', 'first went']",ambience
"My husbands was perfect, my was well done and dry.","['perfect', 'well', 'do', 'dri', 'husband']","['my done', 'well done', 'husbands was']",food
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","['friendli', 'will', 'speak', 'everyon', 'super', 'custom', 'help', 'mile', 'extra']","['super friendly', 'everyone is', 'extra mile', 'i spoken']",service
The pizza was pretty good and huge.,"['good', 'pretti', 'huge', 'pizza']","['pizza was', 'pretty good']",food
Sapphire is the only Indian restaurant I go to when I'm in NYC.,"['indian', 'go', 'nyc', 'restaur', 'sapphir']","['', ""i 'm"", 'only indian', 'i go', 'only restaurant', 'sapphire is']",anecdotes/miscellaneous
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","['accustom', 'authent', 'gather', 'taipei', 'cuisin', 'though', 'taiwanes', 'differ']","['what gathered', 'i gathered', 'authentic taiwanese', 'very different', 'i accustomed', 'cuisine is']",food
I heartily recommend.,"['heartili', 'recommend']","['heartily recommend', 'i recommend']",anecdotes/miscellaneous
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"['best', 'old', 'breweri', 'friend', 'new', 'one', 'far', 'place', 'make', 'nyc', 'heartland', 'catch']","['', 'old ones', 'new friends', 'brewery is', 'far one', 'friends make']",anecdotes/miscellaneous
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"['crowd', 'becom', 'atmospher', 'hesitit', 'review', 'would', 'hate', 'great', 'write', 'almost']","['', 'it become', 'too become', 'atmosphere was', 'review write', 'i hesititate', 'i hate']",ambience
They are often crowded on the weekends but they are efficient and accurate with their service.,"['crowd', 'servic', 'weekend', 'accur', 'effici', 'often']","['they are', 'they crowded', 'often crowded']",service
All my co-workers were amazed at how small the dish was.,"['small', 'co', 'amaz', 'dish', 'worker']","['', 'dish was']",food
"The atmosphere is unheralded, the service impecible, and the food magnificant.","['servic', 'atmospher', 'impec', 'food', 'unherald', 'magnific']","['atmosphere unheralded', 'service impecible']",food
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","['eat', 'branzino', 'bone', 'infus', 'difficult', 'grill', 'special', 'order']","['branzino ordered', 'we ordered', 'special branzino', 'grilled branzino', 'that infused', 'so infused', 'it was']",food
"The wait staff is friendly, and the food has gotten better and better!","['get', 'better', 'wait', 'food', 'friendli', 'staff']","['', 'food gotten', 'staff is']",food
"This place, which is only a few months old, is perhaps Queens' biggest secret!","['queen', 'biggest', 'old', 'month', 'perhap', 'place', 'secret']","['which is', 'place is', 'biggest secret', 'months old', 'few months']",anecdotes/miscellaneous
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","['good', 'best', 'pack', 'weekend', 'bite', 'french', 'may', 'area', 'food', 'find', 'vibe']","['french food', 'it is', 'you find', 'best french', 'it be', 'vibe is', 'best food']",food
This place is so much fun.,"['fun', 'much', 'place']","['much fun', 'place is', 'so much']",anecdotes/miscellaneous
I was glad I did.,['glad'],"['glad i', 'i did', 'i was']",anecdotes/miscellaneous
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"['good', 'cozi', 'nice', 'brooklyn', 'place', 'pizza', 'l', 'right']","['', 'cozy place', 'nice cozy', 'this is', 'nice place']",food
I've never been treated so rudely.,"['never', 'treat', 'rude']","['i treated', 'never treated', 'never been', 'so rudely']",service
I'll be back soon.,"['soon', 'back']","['i be', 'back soon']",anecdotes/miscellaneous
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"['pinard', 'pre', 'menu', 'outstand', 'pere', 'theater', 'le']","['that is', 'pere pinard', 'pinard has', 'menu has']",food
Went inside and I started to get excited.,"['excit', 'get', 'insid', 'start', 'go']",['i started'],anecdotes/miscellaneous
I also ordered for delivery and the restaurant forgot half the order.,"['half', 'forget', 'deliveri', 'restaur', 'also', 'order']","['order forgot', 'restaurant forgot', 'i ordered', 'also ordered']",service
Our server checked on us maybe twice during the entire meal.,"['check', 'us', 'server', 'mayb', 'meal', 'twice', 'entir']","['server checked', 'maybe twice', 'entire meal']",service
"However, it is jus too good to not praise it.","['good', 'ju', 'howev', 'prais']","['it is', 'not praise', 'too good', 'it praise']",anecdotes/miscellaneous
We have been to Montparnasse many times and return often for good reason.,"['good', 'return', 'time', 'reason', 'often', 'mani', 'montparnass']","['we been', 'times montparnasse', 'many times', 'good reason']",anecdotes/miscellaneous
The strong scents coming from the left and right of me negatively affected my taste buds.,"['neg', 'affect', 'leav', 'strong', 'tast', 'scent', 'come', 'right', 'bud']","['negatively affected', 'buds affected', 'strong scents', 'scents affected']",anecdotes/miscellaneous
We had the lobster sandwich and it was FANTASTIC.,"['lobster', 'sandwich', 'fantast']","['', 'sandwich had', 'it was']",food
It's somewhere you can eat and be happy.,"['eat', 'somewher', 'happi']","['you eat', ""it 's""]",anecdotes/miscellaneous
"If you wrote a bad review, it's because you don't understand what Rao's is all about.","['bad', 'rao', 'review', 'understand', 'write']","[""it 's"", 'you understand', 'review wrote', 'bad review', 'you wrote', ""n't understand""]",anecdotes/miscellaneous
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","['less', 'bring', 'hour', 'check', 'us', 'even', 'understand', 'could', 'stall', 'come', 'yet']","['we been', 'they brought', ""n't even"", 'i understand', ""n't brought"", 'check brought', 'there less', 'they coming', 'even brought', 'stalling i']",service
but overall i give it a 10,"['overal', 'give']","['10 give', 'i give', 'overall i']",anecdotes/miscellaneous
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","['soft', 'challeng', 'pay', 'well', 'worth', 'price', 'eat', 'may', 'hang', 'shell', 'look', 'spider', 'roll', 'like', 'though', 'crab']","['it is', 'crab hanging', 'soft shell', 'you pay', 'roll look']",food
Deep Fried Skewers are good and still rare to find in NYC.,"['skewer', 'still', 'good', 'rare', 'deep', 'find', 'nyc', 'fri']","['', 'skewers are', 'still rare', 'fried skewers']",food
"I have tried to make reservations, but both times, the hostess didn't have my name.","['name', 'host', 'time', 'make', 'tri', 'reserv']","['hostess have', 'reservations make', 'name have', ""n't have"", 'make reservations', 'i tried']",service
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"['rice', 'varieti', 'porridg', 'dish', 'also', 'conge', 'differ', 'recommend']","['i recommend', 'different varieties', 'also recommend', 'dishes recommend']",food
Their tuna tartar appetizer is to die for.,"['die', 'appet', 'tuna', 'tartar']",[''],food
This was one of the BEST restaurants I've ever been to.,"['ever', 'best', 'one', 'restaur']","['i been', 'best restaurants', 'ever been', 'this was']",anecdotes/miscellaneous
This restaurant used to be pretty decent.,"['restaur', 'pretti', 'use', 'decent']","['restaurant used', 'pretty decent']",anecdotes/miscellaneous
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","['oasi', 'reach', 'cuisin', 'dish', 'american', 'kitchen', 'uneven', 'food', 'soup', 'execut', 'evid', 'fish', 'refin', 'chef', 'new', 'pinnacl', 'fine', 'somewhat', 'often', 'passion', 'precis', 'though']","['fish dishes', 'oasis reaches', 'new chef', 'often reaches', 'most evident', 'american fine', 'precise execution', 'somewhat uneven', 'american chef', 'new american', 'pinnacles reaches', 'fine chef']",food
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","['delici', 'artisan', 'love', 'chees', 'fare', 'french', 'wine']","['you love', 'delicious fare', 'wine love', 'french fare', 'delicious french']",food
I love Indian food and consider myself to be quite an expert on it.,"['love', 'consid', 'expert', 'indian', 'food', 'quit']","['i love', 'food love', 'myself be', 'indian food']",food
Some baby pizzas get their wish.,"['get', 'babi', 'wish', 'pizza']","['pizzas get', 'wish get']",food
Plenty of choices to make your own creation.,"['choic', 'plenti', 'creation', 'make']","['own creation', 'creation make']",food
It was tiny and I felt like I was eating in someone's living room.,"['room', 'felt', 'tini', 'eat', 'live', 'someon', 'like']","['i felt', 'it was', 'i eating']",ambience
I was there on sat.,['sit'],['i was'],anecdotes/miscellaneous
Overall A oh ya even though there is waiting it is deff worth it,"['worth', 'overal', 'ya', 'deff', 'oh', 'even', 'wait', 'though']","['', 'ya is']",anecdotes/miscellaneous
The lava cake dessert was incredible and I recommend it.,"['cake', 'incred', 'lava', 'dessert', 'recommend']","['i recommend', 'it recommend', 'dessert was', 'lava cake']",food
VT is what baby pizzas hope to be when they grow up.,"['babi', 'hope', 'grow', 'vt', 'pizza']","['they grow', 'vt is', 'pizzas hope', 'what be']",anecdotes/miscellaneous
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","['servic', 'mention', 'overal', 'experi', 'manag', 'bland', 'food', 'unaccommod', 'horribl', 'terribl']","['unaccommodating managers', 'experience was', 'terrible service', 'managers mention', 'overall experience', 'not mention']",food
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"['dollar', 'four', 'finish', 'get', 'tasti', 'late', 'realli', 'cheap', 'lahor', 'night', 'great', 'troubl', 'food', 'place', 'amount', 'like', 'need', 'duck']","['late night', 'you have', 'trouble have', 'you get', 'have trouble', 'really tasty', 'lahore is', 'great place', 'food need', 'amount finishing', 'tasty food', 'likely have', 'you need']",food
The last time I went we were seated at a table in a corridor next to the kitchen.,"['next', 'time', 'kitchen', 'last', 'tabl', 'go', 'corridor', 'seat']","['i went', 'we seated', 'time i', 'last time']",anecdotes/miscellaneous
good selection of wines ranging from affordable to high end.,"['good', 'end', 'select', 'high', 'rang', 'win', 'afford']","['', 'affordable from', 'high end']",food
"Nice restaurant overall, with classic upscale Italian decor.","['decor', 'classic', 'italian', 'nice', 'overal', 'upscal', 'restaur']","['classic decor', 'nice restaurant', 'upscale italian', 'upscale decor', 'italian decor', 'restaurant overall', 'classic upscale']",ambience
Not impressed with the food.,"['impress', 'food']",['not impressed'],food
The entire dining experience was wonderful!,"['entir', 'wonder', 'experi', 'din']","['', 'entire experience', 'experience was']",anecdotes/miscellaneous
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['alway', 'town', 'wonder', 'glass', 'select', 'recommend', 'friend', 'make', 'go', 'bottl', 'reserv', 'wine']","['i recommend', 'they going', 'always recommend', 'selection is', 'friends make', 'reservation make']",food
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"['progress', 'apolog', 'maitr', 'servic', 'highli', 'us', 'delay', 'refin', 'past', 'minut', 'regularli', 'appris', 'keep', 'reserv', 'seat']","['regularly kept', 'highly refined', 'us kept', 'maitre apologized', 'service is', 'seating delayed']",service
"Order the panang duck, it's fantastic.","['panang', 'fantast', 'duck', 'order']","['duck order', ""it 's""]",food
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","['good', 'order', 'raw', 'wonder', 'usual', 'food', 'vegat', 'freshmess', 'though', 'ocasion', 'side']","['raw vegatables', 'very good', 'ocasionally i', 'usually very', 'food is', 'i wondered', 'side orders']",food
"Other than the crappy service from two individuals, it's great.","['servic', 'individu', 'great', 'crappi', 'two']","[""it 's"", 'crappy service']",service
