reviews,lemmas,lemmas,lemmas,aspectCategory
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","['place', 'ladi', 'night', 'perfum', 'overwhelm', 'side', 'east', 'secondli', 'upper']",upper east;east side;,place overwhelmed;upper perfume;east side;,ambience
"i have eaten here a handful of times, for no reason besides sheer convenience.","['eat', 'time', 'reason', 'sheer', 'besid', 'conveni', 'hand']",,i eaten;handful eaten;sheer convenience;,anecdotes/miscellaneous
Obviously run by folks who know a pie.,"['pie', 'obvious', 'know', 'run', 'folk']",obviously run;,who know;pie know;,service
We were very disappointed.,['disappoint'],very disappointed;,we were;,anecdotes/miscellaneous
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"['afford', 'definit', 'special']",definitely special;,it is;,anecdotes/miscellaneous
I really liked this place.,"['realli', 'place', 'like']",really liked;,i liked;place liked;,anecdotes/miscellaneous
I will be going back very soon.,"['go', 'back', 'soon']",back very;very soon;,i going;,anecdotes/miscellaneous
"All the money went into the interior decoration, none of it went to the chefs.","['money', 'go', 'none', 'interior', 'chef', 'decor']",interior decoration;,money went;interior decoration;none went;,ambience
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"['wall', 'uncomfort', 'wooden', 'sit', 'seat', 'bench']",wooden benches;,seats are;you sitting;wooden benches;,ambience
"I asked for seltzer with lime, no ice.","['ask', 'seltzer', 'lime', 'ice']",,i asked;,food
It was pretty inexpensive too.,"['inexpens', 'pretti']",pretty inexpensive;,it was;,price
Will not be back.,['back'],not be;,not be;,anecdotes/miscellaneous
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","['whole', 'enough', 'pickl', 'two', 'peopl', 'go', 'seafood', 'select', 'experi', 'alon', 'meat', 'even']",n't go;n't enough;whole experience;,n't go;people is;n't is;whole experience;,food
My suggestion is to eat family style because you'll want to try the other dishes.,"['eat', 'style', 'dish', 'suggest', 'famili', 'tri', 'want']",eat family;other dishes;,suggestion is;style eat;you want;other dishes;dishes try;,food
"Best of all is the warm vibe, the owner is super friendly and service is fast.","['fast', 'best', 'friendli', 'vibe', 'super', 'servic', 'owner', 'warm']",warm vibe;,warm vibe;owner is;service is;,service
This isn't a value joint.,"['joint', 'valu']",,this is;n't is;,price
Faan's got a great concept but a little rough on the delivery.,"['littl', 'concept', 'get', 'deliveri', 'faan', 'rough', 'great']",great concept;little rough;,faan got;great concept;concept got;little rough;,anecdotes/miscellaneous
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","['miss', 'neighborhood', 'friendli', 'beat', 'downtown', 'incred', 'spot', 'servic', 'food', 'warm', 'atmospher']",incredible food;friendly service;downtown neighborhood;n't miss;,incredible food;warm atmosphere;friendly service;spot miss;n't miss;beat miss;,food
"Great food at REASONABLE prices, makes for an evening that can't be beat!","['reason', 'make', 'beat', 'price', 'food', 'great', 'even']",great food;reasonable prices;n't be;,great food;food makes;reasonable prices;that beat;n't beat;,food
Look foward to trying the Ruben upon returning.,"['foward', 'return', 'look', 'tri', 'ruben', 'upon']",look foward;,ruben trying;,anecdotes/miscellaneous
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"['steakhous', 'seem', 'hold', 'candl', 'roth', 'hous', 'strip']",only other;other steakhouse;,only steakhouse;other steakhouse;steakhouse is;that seems;candle hold;,anecdotes/miscellaneous
We usually go to the Chart House to celebrate a birthday or anniversary.,"['usual', 'celebr', 'go', 'chart', 'birthday', 'hous', 'anniversari']",usually go;,we go;birthday celebrate;,anecdotes/miscellaneous
this little place has a cute interior decor and affordable city prices.,"['littl', 'citi', 'afford', 'place', 'cute', 'interior', 'price', 'decor']",little place;cute interior;interior decor;affordable city;,little place;place has;cute decor;interior decor;decor has;affordable prices;,ambience
You'll adore it.,['ador'],,you adore;it adore;,anecdotes/miscellaneous
Two words: Free wine.,"['two', 'free', 'wine', 'word']",free wine;,free wine;,price
The price is reasonable although the service is poor.,"['reason', 'although', 'poor', 'servic', 'price']",,price is;service is;,service
"The quantity is also very good, you will come out satisfied.","['good', 'satisfi', 'quantiti', 'also', 'come']",also very;very good;,quantity is;you come;,food
I have been to Roth's twice and both times were very disappointing.,"['time', 'roth', 'twice', 'disappoint']",very disappointing;,i been;times were;,anecdotes/miscellaneous
Worth visiting the 1st Ave spot because it is the original store.,"['visit', 'st', 'store', 'worth', 'spot', 'origin', 'ave']",worth visiting;ave spot;original store;,1st visiting;spot visiting;it is;original store;,anecdotes/miscellaneous
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","['friend', 'two', 'town', 'sushi', 'walk', 'floor', 'l', 'lover', 'second', 'stumbl', 'upon', 'friday', 'seriou', 'sit', 'action', 'bar', 'ago', 'closer']",second floor;floor walk-up;serious sushi;,i stumbled;second floor;i was;serious lovers;we sat;,anecdotes/miscellaneous
"Raga's is a romantic, cozy restaurant.","['cozi', 'restaur', 'romant', 'raga']",cozy restaurant;,romantic restaurant;cozy restaurant;,ambience
The fried rice is amazing here.,"['amaz', 'rice', 'fri']",fried rice;,fried rice;rice is;,food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","['au', 'dress', 'delici', 'steak', 'pastri', 'goat', 'includ', 'puff', 'poivr', 'salad', 'three', 'excel', 'world', 'choic', 'chees', 'hanger', 'mussel', 'cours']",excellent mussels;puff pastry;delicious dressing;,choices include;excellent mussels;mussels include;delicious dressing;hanger steak;poivre include;that is;,food
it's a perfect place to have a amanzing indian food.,"['place', 'perfect', 'indian', 'amanz', 'food']",perfect place;indian food;,it 's;perfect place;amanzing food;indian food;food have;,food
The place is so cool and the service is prompt and curtious.,"['prompt', 'cool', 'place', 'curtiou', 'servic']",so cool;,place is;service is;,service
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"['noodl', 'leav', 'slurp', 'cup', 'mild', 'end', 'broth']",mild broth;,you left;mild broth;you slurp;,food
I just wonder how you can have such a delicious meal for such little money.,"['littl', 'delici', 'money', 'meal', 'wonder']",just wonder;delicious meal;such little;little money;,i wonder;you have;delicious meal;meal have;such money;little money;,price
The food was delicious but do not come here on a empty stomach.,"['delici', 'empti', 'food', 'stomach', 'come']",not come;empty stomach;,food was;not come;empty stomach;,food
The wine list is excellent.,"['list', 'wine', 'excel']",wine list;,list is;,food
so garantuan that you can't fit them in a toaster.,"['fit', 'garantuan', 'toaster']",so garantuan;n't fit;,you fit;n't fit;them fit;,food
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","['thai', 'manhattan', 'best', 'restaur', 'except', 'ive', 'food', 'far', 'mani', 'mom', 'cours', 'toon']",ive been;many thai;thai restaurants;best thai;,i been;many restaurants;thai restaurants;toons is;best food;thai food;i had;,food
They wouldnt even let me finish my glass of wine before offering another.,"['wouldnt', 'offer', 'glass', 'anoth', 'wine', 'finish', 'let', 'even']",even let;,they let;me finish;glass finish;another offering;,service
I highly recommend the Sophia pizza.,"['recommend', 'highli', 'sophia', 'pizza']",highly recommend;,i recommend;pizza recommend;,anecdotes/miscellaneous
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","['question', 'detail', 'know', 'special', 'ask', 'whem']",more detailed;detailed questions;,whem asked;we had;detailed questions;questions ask;we knew;specials were;,service
This is a consistently great place to dine for lunch or dinner.,"['lunch', 'place', 'consist', 'dinner', 'dine', 'great']",consistently great;great place;,this is;great place;,anecdotes/miscellaneous
"Nice atmosphere, the service was very pleasant and the desert was good.","['good', 'nice', 'desert', 'servic', 'atmospher', 'pleasant']",nice atmosphere;very pleasant;,nice atmosphere;service was;desert was;,food
All the people that I bring there go back on their own and bring THEIR friends!,"['bring', 'peopl', 'go', 'back', 'friend']",i bring;there go;,people go;that bring;i bring;friends bring;,anecdotes/miscellaneous
After really enjoying ourselves at the bar we sat down at a table and had dinner.,"['tabl', 'realli', 'enjoy', 'dinner', 'sit', 'bar']",really enjoying;had dinner;,ourselves enjoying;we sat;dinner had;,anecdotes/miscellaneous
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","['chill', 'servic', 'environ', 'fabul', 'food', 'fantast', 'atmospher']",fabulous service;fantastic food;,fabulous service;fantastic food;chilled atmosphere;,food
Not what I wanted to hear.,"['want', 'hear']",,not wanted;what hear;i wanted;,anecdotes/miscellaneous
Try the lasagnette appetizer.,"['tri', 'appet', 'lasagnett']",,appetizer try;,food
"Pricey, but worth a try, at least once.","['tri', 'least', 'worth', 'pricey']",,,price
"I've been there a few times, and I usually end up sitting next to some pretty odd people.","['usual', 'time', 'sit', 'peopl', 'odd', 'end', 'pretti', 'next']",few times;usually end;pretty odd;odd people;,i been;few times;i end;odd people;,anecdotes/miscellaneous
I liked the beer selection!,"['select', 'beer', 'like']",,i liked;selection liked;,food
"Great food, good size menu, great service and an unpretensious setting.","['good', 'unpretensi', 'set', 'size', 'servic', 'menu', 'food', 'great']",great food;good size;great service;unpretensious setting;,great food;good size;great service;unpretensious setting;,food
Go here for a romantic dinner but not for an all out wow dining experience.,"['wow', 'go', 'romant', 'dinner', 'experi', 'din']",romantic dinner;wow dining;dining experience;,romantic dinner;not for;out experience;,anecdotes/miscellaneous
Can't wait to go back.,"['wait', 'go', 'back']",n't wait;,n't wait;,anecdotes/miscellaneous
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"['eat', 'satisfi', 'dosa', 'place', 'ny', 'grow', 'tast', 'find', 'yet', 'bud']",eating dosa;,i grew;dosa eating;place find;buds satisfy;,anecdotes/miscellaneous
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"['top', 'good', 'fill', 'glass', 'list', 'gener', 'wine', 'select']",wine list;generously filled;,selection is;,food
"With the great variety on the menu , I eat here often and never get bored .","['eat', 'bore', 'never', 'get', 'menu', 'varieti', 'often', 'great']",great variety;i eat;here often;never get;,great variety;i eat;never get;,food
The menu is very limited - i think we counted 4 or 5 entrees.,"['entre', 'think', 'limit', 'menu', 'count']",very limited;,menu is;i think;we counted;entrees counted;,food
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","['satisfi', 'ever', 'hungri', 'leav', 'carnivor', 'come']",more satisfied;ever been;,you are;you leave;you been;,anecdotes/miscellaneous
The menu is limited but almost all of the dishes are excellent.,"['almost', 'dish', 'limit', 'menu', 'excel']",,menu is;all are;,food
Not too crazy about their sake martini.,"['sake', 'crazi', 'martini']",not too;too crazy;,not crazy;,food
"Great bagels, spreads and a good place to hang out in.","['good', 'place', 'hang', 'spread', 'bagel', 'great']",great bagels;good place;,great bagels;good place;,food
"The service varys from day to day- sometimes they're very nice, and sometimes not.","['sometim', 'nice', 'vari', 'day', 'servic']",very nice;sometimes not;,they 're;,service
"whoever the jazz duo was, they were on POINT.","['duo', 'point', 'whoever', 'jazz']",,duo was;they were;,ambience
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"['rush', 'one', 'place', 'never', 'give', 'tabl', 'ot', 'pressur', 'thing', 'like', 'guest', 'felt', 'incom']",never felt;table ot;ot incoming;,thing is;i liked;i felt;never felt;table give;incoming guests;guests give;,service
This place is a great bargain.,"['great', 'place', 'bargain']",great bargain;,place is;great bargain;,price
We happened upon this place purely by accident and were pleased with the results.,"['place', 'pleas', 'pure', 'happen', 'upon', 'result', 'accid']",,we happened;,anecdotes/miscellaneous
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","['pit', 'restaur', 'everyth', 'els', 'outstand', 'food', 'unfortun']",,food is;everything is;,food
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"['deff', 'recimmend', 'new', 'two', 'tri', 'guess', 'locat', 'ill', 'also', 'bukhara', 'open']",deff recimmend;recimmend bukhara;also have;new locations;,deff recimmend;bukhara recimmend;they opened;new locations;locations guess;them try;,anecdotes/miscellaneous
We always have a delicious meal and always leave feeling satisfied.,"['delici', 'feel', 'satisfi', 'alway', 'leav', 'meal']",always have;delicious meal;always leave;,we have;delicious meal;meal have;,food
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","['eat', 'chopstick', 'swirl', 'around', 'ingredi', 'dip']",,ingredients dip;them swirl;,food
First went here to enjoy their garden terrace.,"['terrac', 'go', 'enjoy', 'garden', 'first']",first went;,terrace enjoy;,ambience
"My husbands was perfect, my was well done and dry.","['husband', 'perfect', 'do', 'well', 'dri']",well done;,husbands was;my done;,food
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","['extra', 'help', 'friendli', 'super', 'speak', 'mile', 'custom', 'everyon', 'will']",super friendly;extra mile;,everyone is;i spoken;extra mile;,service
The pizza was pretty good and huge.,"['huge', 'good', 'pizza', 'pretti']",pretty good;,pizza was;,food
Sapphire is the only Indian restaurant I go to when I'm in NYC.,"['go', 'indian', 'restaur', 'sapphir', 'nyc']",only indian;indian restaurant;,sapphire is;only restaurant;indian restaurant;i go;i 'm;,anecdotes/miscellaneous
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","['though', 'taipei', 'cuisin', 'authent', 'taiwanes', 'differ', 'accustom', 'gather']",authentic taiwanese;very different;,cuisine is;what gathered;i gathered;authentic taiwanese;i accustomed;,food
I heartily recommend.,"['heartili', 'recommend']",heartily recommend;,i recommend;,anecdotes/miscellaneous
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"['one', 'place', 'best', 'make', 'breweri', 'heartland', 'new', 'catch', 'old', 'nyc', 'far', 'friend']",best places;new friends;old ones;,brewery is;far one;best places;new friends;friends make;old ones;,anecdotes/miscellaneous
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"['write', 'almost', 'hesitit', 'review', 'becom', 'hate', 'would', 'great', 'atmospher', 'crowd']",so great;too become;,i hesititate;review write;atmosphere was;i hate;it become;,ambience
They are often crowded on the weekends but they are efficient and accurate with their service.,"['accur', 'weekend', 'servic', 'effici', 'often', 'crowd']",often crowded;,they crowded;they are;,service
All my co-workers were amazed at how small the dish was.,"['small', 'dish', 'worker', 'amaz', 'co']",,workers were;dish was;,food
"The atmosphere is unheralded, the service impecible, and the food magnificant.","['impec', 'servic', 'unherald', 'food', 'magnific', 'atmospher']",service impecible;,atmosphere unheralded;service impecible;,food
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","['eat', 'branzino', 'infus', 'bone', 'grill', 'difficult', 'special', 'order']",grilled branzino;so infused;,we ordered;special branzino;grilled branzino;branzino ordered;that infused;it was;,food
"The wait staff is friendly, and the food has gotten better and better!","['wait', 'friendli', 'get', 'staff', 'food', 'better']",wait staff;,wait staff;staff is;food gotten;,food
"This place, which is only a few months old, is perhaps Queens' biggest secret!","['queen', 'place', 'perhap', 'biggest', 'old', 'secret', 'month']",few months;months old;biggest secret;,place is;which is;biggest secret;,anecdotes/miscellaneous
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","['good', 'area', 'best', 'may', 'french', 'bite', 'vibe', 'weekend', 'food', 'find', 'pack']",best french;french food;,it be;vibe is;it is;best food;french food;you find;,food
This place is so much fun.,"['fun', 'much', 'place']",so much;much fun;,place is;much fun;,anecdotes/miscellaneous
I was glad I did.,['glad'],glad i;,i was;i did;,anecdotes/miscellaneous
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"['good', 'place', 'brooklyn', 'l', 'right', 'nice', 'pizza', 'cozi']",nice cozy;good pizza;,this is;nice place;cozy place;good pizza;,food
I've never been treated so rudely.,"['rude', 'treat', 'never']",never been;so rudely;,i treated;never treated;,service
I'll be back soon.,"['back', 'soon']",back soon;,i be;,anecdotes/miscellaneous
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"['le', 'pere', 'theater', 'pre', 'menu', 'outstand', 'pinard']",pere pinard;pinard has;,pinard has;menu has;that is;,food
Went inside and I started to get excited.,"['start', 'get', 'insid', 'go', 'excit']",,i started;,anecdotes/miscellaneous
I also ordered for delivery and the restaurant forgot half the order.,"['half', 'forget', 'restaur', 'deliveri', 'also', 'order']",also ordered;,i ordered;restaurant forgot;order forgot;,service
Our server checked on us maybe twice during the entire meal.,"['server', 'mayb', 'twice', 'us', 'meal', 'entir', 'check']",maybe twice;entire meal;,server checked;entire meal;,service
"However, it is jus too good to not praise it.","['good', 'ju', 'howev', 'prais']",too good;not praise;,it is;not praise;it praise;,anecdotes/miscellaneous
We have been to Montparnasse many times and return often for good reason.,"['good', 'time', 'return', 'reason', 'montparnass', 'often', 'mani']",many times;good reason;,we been;many times;times montparnasse;good reason;,anecdotes/miscellaneous
The strong scents coming from the left and right of me negatively affected my taste buds.,"['scent', 'affect', 'right', 'leav', 'neg', 'strong', 'tast', 'bud', 'come']",strong scents;negatively affected;,strong scents;scents affected;buds affected;,anecdotes/miscellaneous
We had the lobster sandwich and it was FANTASTIC.,"['sandwich', 'lobster', 'fantast']",,we had;sandwich had;it was;,food
It's somewhere you can eat and be happy.,"['eat', 'happi', 'somewher']",,it 's;you eat;,anecdotes/miscellaneous
"If you wrote a bad review, it's because you don't understand what Rao's is all about.","['write', 'review', 'rao', 'bad', 'understand']",bad review;n't understand;,you wrote;bad review;review wrote;it 's;you understand;n't understand;,anecdotes/miscellaneous
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","['yet', 'could', 'even', 'us', 'stall', 'hour', 'less', 'check', 'understand', 'bring', 'come']",stalling i;there less;n't even;even brought;,we been;i understand;they coming;we been;they brought;n't brought;check brought;,service
but overall i give it a 10,"['overal', 'give']",overall i;,i give;10 give;,anecdotes/miscellaneous
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","['roll', 'though', 'spider', 'eat', 'may', 'challeng', 'look', 'shell', 'crab', 'worth', 'hang', 'price', 'like', 'soft', 'well', 'pay']",soft shell;,roll look;soft shell;crab hanging;it is;you pay;,food
Deep Fried Skewers are good and still rare to find in NYC.,"['good', 'deep', 'skewer', 'rare', 'fri', 'nyc', 'find', 'still']",deep fried;fried skewers;still rare;,fried skewers;skewers are;,food
"I have tried to make reservations, but both times, the hostess didn't have my name.","['time', 'make', 'reserv', 'tri', 'host', 'name']",make reservations;n't have;,i tried;reservations make;hostess have;n't have;name have;,service
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"['dish', 'recommend', 'rice', 'porridg', 'also', 'differ', 'varieti', 'conge']",also recommend;different varieties;,i recommend;dishes recommend;different varieties;,food
Their tuna tartar appetizer is to die for.,"['tartar', 'tuna', 'appet', 'die']",,appetizer is;,food
This was one of the BEST restaurants I've ever been to.,"['ever', 'one', 'restaur', 'best']",best restaurants;ever been;,this was;best restaurants;i been;,anecdotes/miscellaneous
This restaurant used to be pretty decent.,"['use', 'decent', 'restaur', 'pretti']",pretty decent;,restaurant used;,anecdotes/miscellaneous
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","['precis', 'though', 'cuisin', 'uneven', 'oasi', 'american', 'reach', 'fine', 'new', 'refin', 'evid', 'often', 'passion', 'fish', 'somewhat', 'dish', 'execut', 'pinnacl', 'kitchen', 'soup', 'chef', 'food']",somewhat uneven;often reaches;new american;american fine;precise execution;most evident;fish dishes;,oasis reaches;pinnacles reaches;new chef;american chef;fine chef;precise execution;,food
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","['delici', 'artisan', 'love', 'french', 'wine', 'fare', 'chees']",delicious french;french fare;,you love;wine love;delicious fare;french fare;you love;,food
I love Indian food and consider myself to be quite an expert on it.,"['love', 'indian', 'quit', 'expert', 'food', 'consid']",indian food;,i love;indian food;food love;myself be;,food
Some baby pizzas get their wish.,"['wish', 'babi', 'pizza', 'get']",,pizzas get;wish get;,food
Plenty of choices to make your own creation.,"['choic', 'make', 'creation', 'plenti']",own creation;,own creation;creation make;,food
It was tiny and I felt like I was eating in someone's living room.,"['room', 'eat', 'tini', 'like', 'felt', 'live', 'someon']",i felt;,it was;i felt;i eating;,ambience
I was there on sat.,['sit'],,i was;,anecdotes/miscellaneous
Overall A oh ya even though there is waiting it is deff worth it,"['wait', 'though', 'deff', 'ya', 'worth', 'oh', 'overal', 'even']",,ya is;it is;,anecdotes/miscellaneous
The lava cake dessert was incredible and I recommend it.,"['dessert', 'cake', 'lava', 'recommend', 'incred']",lava cake;i recommend;,dessert was;i recommend;it recommend;,food
VT is what baby pizzas hope to be when they grow up.,"['vt', 'grow', 'babi', 'hope', 'pizza']",pizzas hope;,vt is;what be;pizzas hope;they grow;,anecdotes/miscellaneous
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","['manag', 'unaccommod', 'mention', 'bland', 'overal', 'servic', 'horribl', 'terribl', 'experi', 'food']",terrible service;overall experience;,terrible service;not mention;unaccommodating managers;managers mention;overall experience;experience was;,food
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"['dollar', 'tasti', 'place', 'amount', 'get', 'late', 'night', 'troubl', 'lahor', 'realli', 'duck', 'finish', 'like', 'food', 'need', 'great', 'four', 'cheap']",great place;really tasty;tasty food;likely have;have trouble;,lahore is;great place;late night;you need;tasty food;food need;you have;trouble have;amount finishing;you get;,food
The last time I went we were seated at a table in a corridor next to the kitchen.,"['time', 'last', 'tabl', 'go', 'kitchen', 'next', 'seat', 'corridor']",last time;time i;i went;,last time;i went;we seated;,anecdotes/miscellaneous
good selection of wines ranging from affordable to high end.,"['rang', 'afford', 'good', 'win', 'end', 'select', 'high']",good selection;high end;,good selection;affordable from;high end;,food
"Nice restaurant overall, with classic upscale Italian decor.","['italian', 'upscal', 'nice', 'restaur', 'overal', 'classic', 'decor']",nice restaurant;restaurant overall;classic upscale;upscale italian;italian decor;,nice restaurant;classic decor;upscale decor;italian decor;,ambience
Not impressed with the food.,"['food', 'impress']",not impressed;,not impressed;,food
The entire dining experience was wonderful!,"['experi', 'entir', 'din', 'wonder']",entire dining;,entire experience;experience was;,anecdotes/miscellaneous
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['friend', 'alway', 'make', 'recommend', 'reserv', 'go', 'glass', 'town', 'wine', 'select', 'bottl', 'wonder']",always recommend;,selection is;i recommend;friends make;reservation make;they going;,food
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"['maitr', 'minut', 'highli', 'regularli', 'past', 'keep', 'reserv', 'apolog', 'refin', 'us', 'delay', 'appris', 'progress', 'servic', 'seat']",highly refined;regularly kept;,service is;seating delayed;maitre apologized;us kept;,service
"Order the panang duck, it's fantastic.","['duck', 'fantast', 'panang', 'order']",,duck order;it 's;,food
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","['ocasion', 'though', 'good', 'usual', 'raw', 'side', 'vegat', 'food', 'wonder', 'freshmess', 'order']",usually very;very good;ocasionally i;i wondered;raw vegatables;side orders;,food is;i wondered;raw vegatables;,food
"Other than the crappy service from two individuals, it's great.","['individu', 'crappi', 'two', 'servic', 'great']",crappy service;,crappy service;it 's;,service
What more can you ask for?,['ask'],,you ask;,anecdotes/miscellaneous
Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,"['wait', 'one', 'best', 'notic', 'form', 'particular', 'line', 'establish', 'deal', 'wonder']",best deals;particular establishment;,who had;best deals;deals had;we noticed;line noticed;particular establishment;,anecdotes/miscellaneous
They have authentic Indian at amazin prices.,"['price', 'amazin', 'authent', 'indian']",authentic indian;amazin prices;,they have;authentic indian;indian have;,food
You are treated just like royality.,"['royal', 'treat', 'like']",,you treated;,service
"There's nice and quiet, small but enough for 6 (or more).","['small', 'nice', 'quiet', 'enough']",,,ambience
