reviews,lemmas,aspectCategory
"I asked for seltzer with lime, no ice.","['ask', 'ice', 'lime', 'seltzer']",food
It was pretty inexpensive too.,"['inexpens', 'pretti']",price
Will not be back.,['back'],anecdotes/miscellaneous
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","['select', 'even', 'enough', 'whole', 'go', 'meat', 'seafood', 'peopl', 'two', 'pickl', 'alon', 'experi']",food
My suggestion is to eat family style because you'll want to try the other dishes.,"['tri', 'dish', 'famili', 'eat', 'style', 'suggest', 'want']",food
"Best of all is the warm vibe, the owner is super friendly and service is fast.","['vibe', 'warm', 'friendli', 'best', 'super', 'servic', 'fast', 'owner']",service
This isn't a value joint.,"['joint', 'valu']",price
Faan's got a great concept but a little rough on the delivery.,"['great', 'littl', 'get', 'deliveri', 'faan', 'rough', 'concept']",anecdotes/miscellaneous
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","['food', 'downtown', 'warm', 'miss', 'spot', 'beat', 'atmospher', 'incred', 'friendli', 'servic', 'neighborhood']",food
"Great food at REASONABLE prices, makes for an evening that can't be beat!","['food', 'even', 'make', 'great', 'beat', 'price', 'reason']",food
Look foward to trying the Ruben upon returning.,"['ruben', 'tri', 'return', 'upon', 'look', 'foward']",anecdotes/miscellaneous
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"['roth', 'hous', 'hold', 'steakhous', 'candl', 'seem', 'strip']",anecdotes/miscellaneous
We usually go to the Chart House to celebrate a birthday or anniversary.,"['chart', 'go', 'anniversari', 'hous', 'celebr', 'birthday', 'usual']",anecdotes/miscellaneous
this little place has a cute interior decor and affordable city prices.,"['interior', 'littl', 'afford', 'cute', 'citi', 'price', 'decor', 'place']",ambience
You'll adore it.,['ador'],anecdotes/miscellaneous
Two words: Free wine.,"['two', 'word', 'wine', 'free']",price
The price is reasonable although the service is poor.,"['although', 'poor', 'servic', 'price', 'reason']",service
"The quantity is also very good, you will come out satisfied.","['also', 'quantiti', 'come', 'good', 'satisfi']",food
I have been to Roth's twice and both times were very disappointing.,"['time', 'disappoint', 'twice', 'roth']",anecdotes/miscellaneous
Worth visiting the 1st Ave spot because it is the original store.,"['ave', 'st', 'store', 'spot', 'worth', 'visit', 'origin']",anecdotes/miscellaneous
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","['seriou', 'stumbl', 'sushi', 'floor', 'second', 'l', 'upon', 'two', 'action', 'sit', 'town', 'walk', 'ago', 'bar', 'friday', 'closer', 'friend', 'lover']",anecdotes/miscellaneous
"Raga's is a romantic, cozy restaurant.","['cozi', 'restaur', 'romant', 'raga']",ambience
The fried rice is amazing here.,"['amaz', 'fri', 'rice']",food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","['chees', 'pastri', 'mussel', 'excel', 'puff', 'steak', 'world', 'includ', 'salad', 'choic', 'goat', 'cours', 'dress', 'three', 'au', 'poivr', 'hanger', 'delici']",food
it's a perfect place to have a amanzing indian food.,"['food', 'indian', 'perfect', 'amanz', 'place']",food
The place is so cool and the service is prompt and curtious.,"['prompt', 'curtiou', 'cool', 'servic', 'place']",service
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"['slurp', 'broth', 'cup', 'mild', 'end', 'leav', 'noodl']",food
I just wonder how you can have such a delicious meal for such little money.,"['money', 'meal', 'littl', 'wonder', 'delici']",price
The food was delicious but do not come here on a empty stomach.,"['food', 'stomach', 'come', 'empti', 'delici']",food
The wine list is excellent.,"['wine', 'list', 'excel']",food
so garantuan that you can't fit them in a toaster.,"['toaster', 'fit', 'garantuan']",food
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","['food', 'far', 'mom', 'thai', 'manhattan', 'mani', 'except', 'toon', 'cours', 'best', 'ive', 'restaur']",food
They wouldnt even let me finish my glass of wine before offering another.,"['even', 'anoth', 'glass', 'finish', 'offer', 'wine', 'wouldnt', 'let']",service
I highly recommend the Sophia pizza.,"['recommend', 'highli', 'pizza', 'sophia']",anecdotes/miscellaneous
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","['question', 'whem', 'special', 'detail', 'ask', 'know']",service
This is a consistently great place to dine for lunch or dinner.,"['lunch', 'consist', 'dine', 'dinner', 'place', 'great']",anecdotes/miscellaneous
"Nice atmosphere, the service was very pleasant and the desert was good.","['desert', 'nice', 'pleasant', 'atmospher', 'servic', 'good']",food
All the people that I bring there go back on their own and bring THEIR friends!,"['go', 'bring', 'peopl', 'back', 'friend']",anecdotes/miscellaneous
After really enjoying ourselves at the bar we sat down at a table and had dinner.,"['tabl', 'enjoy', 'dinner', 'sit', 'bar', 'realli']",anecdotes/miscellaneous
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","['food', 'fabul', 'chill', 'atmospher', 'servic', 'environ', 'fantast']",food
Not what I wanted to hear.,"['hear', 'want']",anecdotes/miscellaneous
Try the lasagnette appetizer.,"['tri', 'appet', 'lasagnett']",food
"Pricey, but worth a try, at least once.","['tri', 'worth', 'pricey', 'least']",price
"I've been there a few times, and I usually end up sitting next to some pretty odd people.","['next', 'peopl', 'sit', 'pretti', 'end', 'time', 'odd', 'usual']",anecdotes/miscellaneous
I liked the beer selection!,"['select', 'beer', 'like']",food
"Great food, good size menu, great service and an unpretensious setting.","['food', 'set', 'size', 'unpretensi', 'servic', 'menu', 'good', 'great']",food
Go here for a romantic dinner but not for an all out wow dining experience.,"['wow', 'go', 'din', 'romant', 'dinner', 'experi']",anecdotes/miscellaneous
Can't wait to go back.,"['back', 'wait', 'go']",anecdotes/miscellaneous
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"['ny', 'tast', 'dosa', 'find', 'yet', 'grow', 'eat', 'place', 'satisfi', 'bud']",anecdotes/miscellaneous
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"['gener', 'select', 'list', 'wine', 'fill', 'top', 'glass', 'good']",food
"With the great variety on the menu , I eat here often and never get bored .","['menu', 'bore', 'never', 'get', 'varieti', 'often', 'eat', 'great']",food
The menu is very limited - i think we counted 4 or 5 entrees.,"['entre', 'think', 'menu', 'limit', 'count']",food
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","['come', 'ever', 'carnivor', 'leav', 'hungri', 'satisfi']",anecdotes/miscellaneous
The menu is limited but almost all of the dishes are excellent.,"['excel', 'dish', 'almost', 'menu', 'limit']",food
Not too crazy about their sake martini.,"['crazi', 'martini', 'sake']",food
"Great bagels, spreads and a good place to hang out in.","['bagel', 'spread', 'hang', 'place', 'good', 'great']",food
"The service varys from day to day- sometimes they're very nice, and sometimes not.","['vari', 'day', 'nice', 'sometim', 'servic']",service
"whoever the jazz duo was, they were on POINT.","['jazz', 'point', 'whoever', 'duo']",ambience
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"['rush', 'pressur', 'never', 'tabl', 'ot', 'thing', 'like', 'incom', 'felt', 'one', 'place', 'guest', 'give']",service
This place is a great bargain.,"['place', 'bargain', 'great']",price
We happened upon this place purely by accident and were pleased with the results.,"['result', 'upon', 'pleas', 'accid', 'happen', 'place', 'pure']",anecdotes/miscellaneous
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","['food', 'outstand', 'everyth', 'els', 'unfortun', 'restaur', 'pit']",food
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"['also', 'deff', 'recimmend', 'ill', 'tri', 'bukhara', 'open', 'new', 'two', 'guess', 'locat']",anecdotes/miscellaneous
We always have a delicious meal and always leave feeling satisfied.,"['meal', 'feel', 'leav', 'satisfi', 'alway', 'delici']",food
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","['chopstick', 'dip', 'swirl', 'eat', 'around', 'ingredi']",food
First went here to enjoy their garden terrace.,"['terrac', 'go', 'enjoy', 'garden', 'first']",ambience
"My husbands was perfect, my was well done and dry.","['husband', 'dri', 'do', 'perfect', 'well']",food
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","['speak', 'mile', 'help', 'everyon', 'custom', 'friendli', 'super', 'will', 'extra']",service
The pizza was pretty good and huge.,"['good', 'pizza', 'huge', 'pretti']",food
Sapphire is the only Indian restaurant I go to when I'm in NYC.,"['nyc', 'go', 'indian', 'sapphir', 'restaur']",anecdotes/miscellaneous
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","['taiwanes', 'cuisin', 'accustom', 'authent', 'taipei', 'gather', 'differ', 'though']",food
I heartily recommend.,"['recommend', 'heartili']",anecdotes/miscellaneous
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"['far', 'heartland', 'make', 'nyc', 'catch', 'breweri', 'new', 'old', 'best', 'one', 'place', 'friend']",anecdotes/miscellaneous
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"['crowd', 'would', 'becom', 'atmospher', 'review', 'hesitit', 'write', 'almost', 'hate', 'great']",ambience
They are often crowded on the weekends but they are efficient and accurate with their service.,"['crowd', 'weekend', 'accur', 'often', 'servic', 'effici']",service
All my co-workers were amazed at how small the dish was.,"['amaz', 'dish', 'co', 'worker', 'small']",food
"The atmosphere is unheralded, the service impecible, and the food magnificant.","['food', 'magnific', 'atmospher', 'impec', 'unherald', 'servic']",food
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","['bone', 'grill', 'branzino', 'special', 'eat', 'order', 'infus', 'difficult']",food
"The wait staff is friendly, and the food has gotten better and better!","['food', 'wait', 'get', 'friendli', 'better', 'staff']",food
"This place, which is only a few months old, is perhaps Queens' biggest secret!","['month', 'perhap', 'queen', 'old', 'biggest', 'place', 'secret']",anecdotes/miscellaneous
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","['vibe', 'weekend', 'food', 'pack', 'bite', 'french', 'find', 'best', 'may', 'good', 'area']",food
This place is so much fun.,"['fun', 'place', 'much']",anecdotes/miscellaneous
I was glad I did.,['glad'],anecdotes/miscellaneous
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"['cozi', 'brooklyn', 'nice', 'pizza', 'l', 'place', 'good', 'right']",food
I've never been treated so rudely.,"['never', 'rude', 'treat']",service
I'll be back soon.,"['soon', 'back']",anecdotes/miscellaneous
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"['pre', 'menu', 'outstand', 'le', 'pere', 'theater', 'pinard']",food
Went inside and I started to get excited.,"['go', 'start', 'excit', 'get', 'insid']",anecdotes/miscellaneous
I also ordered for delivery and the restaurant forgot half the order.,"['also', 'half', 'forget', 'deliveri', 'order', 'restaur']",service
Our server checked on us maybe twice during the entire meal.,"['entir', 'server', 'meal', 'mayb', 'us', 'twice', 'check']",service
"However, it is jus too good to not praise it.","['howev', 'ju', 'good', 'prais']",anecdotes/miscellaneous
We have been to Montparnasse many times and return often for good reason.,"['return', 'mani', 'often', 'time', 'montparnass', 'good', 'reason']",anecdotes/miscellaneous
The strong scents coming from the left and right of me negatively affected my taste buds.,"['scent', 'neg', 'come', 'tast', 'strong', 'affect', 'leav', 'bud', 'right']",anecdotes/miscellaneous
We had the lobster sandwich and it was FANTASTIC.,"['fantast', 'sandwich', 'lobster']",food
It's somewhere you can eat and be happy.,"['eat', 'happi', 'somewher']",anecdotes/miscellaneous
"If you wrote a bad review, it's because you don't understand what Rao's is all about.","['bad', 'review', 'understand', 'write', 'rao']",anecdotes/miscellaneous
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","['even', 'hour', 'come', 'bring', 'us', 'understand', 'yet', 'stall', 'less', 'could', 'check']",service
but overall i give it a 10,"['overal', 'give']",anecdotes/miscellaneous
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","['shell', 'hang', 'roll', 'challeng', 'pay', 'may', 'like', 'crab', 'worth', 'look', 'soft', 'eat', 'spider', 'price', 'well', 'though']",food
Deep Fried Skewers are good and still rare to find in NYC.,"['nyc', 'fri', 'skewer', 'still', 'rare', 'find', 'deep', 'good']",food
"I have tried to make reservations, but both times, the hostess didn't have my name.","['make', 'name', 'tri', 'time', 'reserv', 'host']",service
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"['also', 'rice', 'dish', 'recommend', 'varieti', 'porridg', 'conge', 'differ']",food
Their tuna tartar appetizer is to die for.,"['tuna', 'appet', 'die', 'tartar']",food
This was one of the BEST restaurants I've ever been to.,"['ever', 'one', 'restaur', 'best']",anecdotes/miscellaneous
This restaurant used to be pretty decent.,"['restaur', 'use', 'decent', 'pretti']",anecdotes/miscellaneous
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","['kitchen', 'reach', 'though', 'uneven', 'cuisin', 'pinnacl', 'refin', 'fine', 'food', 'execut', 'fish', 'american', 'often', 'oasi', 'precis', 'passion', 'somewhat', 'new', 'chef', 'evid', 'dish', 'soup']",food
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","['chees', 'fare', 'french', 'artisan', 'love', 'wine', 'delici']",food
I love Indian food and consider myself to be quite an expert on it.,"['food', 'consid', 'indian', 'quit', 'love', 'expert']",food
Some baby pizzas get their wish.,"['babi', 'pizza', 'get', 'wish']",food
Plenty of choices to make your own creation.,"['creation', 'plenti', 'choic', 'make']",food
It was tiny and I felt like I was eating in someone's living room.,"['someon', 'tini', 'like', 'room', 'live', 'felt', 'eat']",ambience
I was there on sat.,['sit'],anecdotes/miscellaneous
Overall A oh ya even though there is waiting it is deff worth it,"['even', 'deff', 'wait', 'overal', 'worth', 'ya', 'oh', 'though']",anecdotes/miscellaneous
The lava cake dessert was incredible and I recommend it.,"['lava', 'dessert', 'incred', 'recommend', 'cake']",food
VT is what baby pizzas hope to be when they grow up.,"['hope', 'pizza', 'babi', 'grow', 'vt']",anecdotes/miscellaneous
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","['food', 'bland', 'mention', 'manag', 'overal', 'unaccommod', 'terribl', 'horribl', 'servic', 'experi']",food
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"['food', 'need', 'duck', 'amount', 'cheap', 'lahor', 'troubl', 'get', 'like', 'four', 'finish', 'night', 'realli', 'late', 'place', 'tasti', 'dollar', 'great']",food
The last time I went we were seated at a table in a corridor next to the kitchen.,"['go', 'tabl', 'last', 'seat', 'corridor', 'next', 'kitchen', 'time']",anecdotes/miscellaneous
good selection of wines ranging from affordable to high end.,"['high', 'select', 'rang', 'afford', 'win', 'end', 'good']",food
"Nice restaurant overall, with classic upscale Italian decor.","['classic', 'upscal', 'nice', 'overal', 'italian', 'restaur', 'decor']",ambience
Not impressed with the food.,"['food', 'impress']",food
The entire dining experience was wonderful!,"['din', 'entir', 'wonder', 'experi']",anecdotes/miscellaneous
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['select', 'bottl', 'make', 'go', 'recommend', 'glass', 'town', 'wonder', 'reserv', 'wine', 'friend', 'alway']",food
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"['apolog', 'minut', 'appris', 'seat', 'delay', 'us', 'past', 'progress', 'regularli', 'servic', 'refin', 'highli', 'reserv', 'maitr', 'keep']",service
"Order the panang duck, it's fantastic.","['fantast', 'order', 'duck', 'panang']",food
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","['food', 'side', 'usual', 'raw', 'order', 'vegat', 'wonder', 'freshmess', 'good', 'ocasion', 'though']",food
"Other than the crappy service from two individuals, it's great.","['individu', 'crappi', 'two', 'servic', 'great']",service
What more can you ask for?,['ask'],anecdotes/miscellaneous
Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,"['wait', 'particular', 'form', 'one', 'line', 'best', 'establish', 'wonder', 'notic', 'deal']",anecdotes/miscellaneous
They have authentic Indian at amazin prices.,"['indian', 'price', 'amazin', 'authent']",food
You are treated just like royality.,"['royal', 'like', 'treat']",service
"There's nice and quiet, small but enough for 6 (or more).","['small', 'quiet', 'enough', 'nice']",ambience
Ambiance- relaxed and stylish.,"['ambianc', 'stylish', 'relax']",ambience
I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,"['month', 'never', 'last', 'jimmi', 'felt', 'bronx', 'cafe', 'unwelcom']",anecdotes/miscellaneous
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","['duck', 'sea', 'bbq', 'crispi', 'room', 'bass', 'save', 'luckili', 'salmon']",food
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","['use', 'ye', 'even', 'make', 'someon', 'pizza', 'get', 'fanci', 'right', 'unless', 'know', 'good', 'ingredi', 'crust']",food
"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).","['enter', 'would', 'wall', 'hole', 'look', 'realli', 'one', 'outsid', 'hesit']",ambience
and yes Dal Bukhara is so dam good and so are all the kababs.,"['ye', 'dal', 'kabab', 'bukhara', 'dam', 'good']",food
I look forward to eating here again,"['forward', 'look', 'eat']",anecdotes/miscellaneous
I've been coming here as a child and always come back for the taste.,"['come', 'tast', 'child', 'back', 'alway']",food
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"['price', 'fair', 'joint', 'meal', 'comfort', 'know', 'tuk', 'one', 'good', 'neighborhood', 'alway']",food
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","['mussel', 'everyth', 'lizard', 'prosecco', 'glass', 'leap', 'happi']",food
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","['food', 'caramel', 'creme', 'kerosen', 'aw', 'char', 'brule', 'averag', 'smell', 'sugar']",food
The food always tastes fresh and served promptly.,"['food', 'fresh', 'tast', 'promptli', 'serv', 'alway']",food
I know because I live nearby.,"['live', 'nearbi', 'know']",anecdotes/miscellaneous
The pizza here is delicious.,"['pizza', 'delici']",food
My entire family was horrified.,"['famili', 'entir', 'horrifi']",anecdotes/miscellaneous
On a monthly basis my friends and I get together and have a girls night out.,"['girl', 'basi', 'monthli', 'get', 'night', 'friend', 'togeth']",anecdotes/miscellaneous
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","['quick', 'pizza', 'alway', 'quit', 'deliveri', 'order', 'often', 'knot', 'super', 'well', 'garlic', 'great']",food
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","['food', 'away', 'chines', 'ye', 'grand', 'sichuan', 'nearbi', 'liang', 'wu', 'block', 'great']",food
But who says Murray's is anything about service.,"['say', 'anyth', 'servic', 'murray']",service
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","['food', 'forget', 'import', 'realli', 'restaur', 'place', 'part', 'trendi']",food
I have NEVER been disappointed in the Red Eye.,"['never', 'eye', 'red', 'disappoint']",anecdotes/miscellaneous
Hats off to the chef.,"['hat', 'chef']",food
This should have been done in a back room - away from customers.,"['away', 'do', 'room', 'back', 'custom']",anecdotes/miscellaneous
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","['restaur', 'antiqu', 'overal', 'littl', 'teapot', 'one', 'understand', 'heavi', 'import', 'seem', 'servic', 'black', 'thing', 'improv', 'place', 'could', 'experi']",anecdotes/miscellaneous
Glad you have the luxury to throw out paying customers.,"['pay', 'luxuri', 'custom', 'throw', 'glad']",anecdotes/miscellaneous
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","['chees', 'use', 'common', 'fresh', 'cheap', 'pizza', 'instead', 'shred', 'mozzarella', 'pizzaria', 'freez', 'delici']",food
Its an excellent place to relax and the food is one of the best in the city of New York.,"['food', 'excel', 'new', 'york', 'relax', 'best', 'citi', 'one', 'place']",food
"service is friendly, and never had a problem walking in and getting a table.","['never', 'tabl', 'get', 'friendli', 'servic', 'walk', 'problem']",service
The atmosphere was crowded but it was a great bistro-type vibe.,"['crowd', 'vibe', 'type', 'atmospher', 'bistro', 'great']",ambience
Check it out,['check'],anecdotes/miscellaneous
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","['unattent', 'restaur', 'waitress', 'tabl', 'complet', 'get', 'order', 'wrong', 'odd', 'time', 'saw', 'first']",service
Don't go.,['go'],anecdotes/miscellaneous
The food was bland oily.,"['food', 'bland', 'oili']",food
But they do.,[],anecdotes/miscellaneous
"What is even better, is that the prices are very affordable as well, and the food is really good.","['food', 'even', 'afford', 'realli', 'better', 'price', 'good', 'well']",food
The fish is fresh but the variety of fish is nothing out of ordinary.,"['fresh', 'fish', 'varieti', 'ordinari', 'noth']",food
Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,"['dont', 'decent', 'tri', 'ever', 'peopl', 'review', 'pleas', 'look', 'write', 'know', 'place', 'someoth']",anecdotes/miscellaneous
Suan has challenged this loyalty.,"['loyalti', 'suan', 'challeng']",anecdotes/miscellaneous
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","['pesto', 'bottl', 'meal', 'hous', 'pizza', 'wine', 'favorit', 'salad', 'good']",food
"And Kruno, the beverage manager is the best bartender I have yet to come across.","['across', 'manag', 'beverag', 'come', 'yet', 'kruno', 'best', 'bartend']",service
"Ambiance and music funky, which I enjoy.","['enjoy', 'ambianc', 'funki', 'music']",ambience
"The food, drinks and service are clearly among the best in the city.","['food', 'among', 'drink', 'clearli', 'servic', 'best', 'citi']",food
I went there in late afternoon for some bite size food and refleshment with my date.,"['food', 'go', 'bite', 'afternoon', 'size', 'late', 'reflesh', 'date']",anecdotes/miscellaneous
"It's a really great deal, considering we got full off of four dollars.","['consid', 'get', 'four', 'realli', 'full', 'deal', 'dollar', 'great']",price
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","['tast', 'understand', 'maze', 'complic', 'allur', 'captain', 'come', 'five', 'sommlier', 'romant', 'folk', 'authent', 'area', 'experi', 'food', 'need', 'star', 'featur', 'ambianc', 'waiter', 'back', 'servic']",food
Went with mommy (the only person who could afford taking me here).,"['take', 'mommi', 'person', 'go', 'afford', 'could']",anecdotes/miscellaneous
My friends and I were on vacation in NY and was referred to Chance by a friend.,"['vacat', 'ny', 'chanc', 'refer', 'friend']",anecdotes/miscellaneous
"Last time I went here, the waitress didn't come back after taking our order.","['take', 'waitress', 'go', 'last', 'come', 'order', 'back', 'time']",service
Try the tandoori salmon!,"['tri', 'tandoori', 'salmon']",food
"I am completely hooked on this place, it is ridiculous.","['complet', 'place', 'ridicul', 'hook']",anecdotes/miscellaneous
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","['desk', 'atmospher', 'experi', 'eat', 'save', 'disappoint']",anecdotes/miscellaneous
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","['grant', 'even', 'smaller', 'largest', 'space', 'find', 'servic', 'best', 'restaur']",service
"Have recommended the place to friends, always gets good response.","['get', 'respons', 'recommend', 'place', 'good', 'friend', 'alway']",anecdotes/miscellaneous
We will return many times for this oasis in mid-town.,"['return', 'mani', 'town', 'time', 'oasi', 'mid']",anecdotes/miscellaneous
I love the atmorphere @ peep!,"['love', 'atmorpher', 'peep']",ambience
Enjoy!,['enjoy'],anecdotes/miscellaneous
We weren't!,[],anecdotes/miscellaneous
This is one of my favorite restaurants and it is not to be missed.,"['one', 'favorit', 'restaur', 'miss']",anecdotes/miscellaneous
(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,"['restaur', 'pacifico', 'rosa', 'mexican', 'la', 'connect', 'door', 'swing']",anecdotes/miscellaneous
It could have been handled better.,"['handl', 'could', 'better']",anecdotes/miscellaneous
The service was attentive and her suggestions of menu items was right on the mark.,"['attent', 'mark', 'item', 'servic', 'menu', 'suggest', 'right']",service
