reviews,lemmas,lemmas,aspectCategory
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"['afford', 'special', 'definit']","['afford', 'special', 'definit']",anecdotes/miscellaneous
I really liked this place.,"['like', 'place', 'realli']","['like', 'place', 'realli']",anecdotes/miscellaneous
I will be going back very soon.,"['go', 'back', 'soon']","['go', 'back', 'soon']",anecdotes/miscellaneous
"All the money went into the interior decoration, none of it went to the chefs.","['chef', 'interior', 'decor', 'money', 'go', 'none']","['chef', 'interior', 'decor', 'money', 'go', 'none']",ambience
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"['wall', 'seat', 'bench', 'wooden', 'sit', 'uncomfort']","['wall', 'seat', 'bench', 'wooden', 'sit', 'uncomfort']",ambience
"I asked for seltzer with lime, no ice.","['ice', 'lime', 'seltzer', 'ask']","['ice', 'lime', 'seltzer', 'ask']",food
It was pretty inexpensive too.,"['pretti', 'inexpens']","['pretti', 'inexpens']",price
Will not be back.,['back'],['back'],anecdotes/miscellaneous
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","['whole', 'alon', 'peopl', 'two', 'pickl', 'even', 'seafood', 'select', 'enough', 'go', 'experi', 'meat']","['whole', 'alon', 'peopl', 'two', 'pickl', 'even', 'seafood', 'select', 'enough', 'go', 'experi', 'meat']",food
My suggestion is to eat family style because you'll want to try the other dishes.,"['famili', 'style', 'want', 'suggest', 'dish', 'tri', 'eat']","['famili', 'style', 'want', 'suggest', 'dish', 'tri', 'eat']",food
"Best of all is the warm vibe, the owner is super friendly and service is fast.","['best', 'owner', 'fast', 'servic', 'vibe', 'super', 'friendli', 'warm']","['best', 'owner', 'fast', 'servic', 'vibe', 'super', 'friendli', 'warm']",service
This isn't a value joint.,"['joint', 'valu']","['joint', 'valu']",price
Faan's got a great concept but a little rough on the delivery.,"['faan', 'get', 'rough', 'concept', 'littl', 'deliveri', 'great']","['faan', 'get', 'rough', 'concept', 'littl', 'deliveri', 'great']",anecdotes/miscellaneous
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","['neighborhood', 'warm', 'atmospher', 'beat', 'miss', 'servic', 'incred', 'downtown', 'friendli', 'food', 'spot']","['neighborhood', 'warm', 'atmospher', 'beat', 'miss', 'servic', 'incred', 'downtown', 'friendli', 'food', 'spot']",food
"Great food at REASONABLE prices, makes for an evening that can't be beat!","['beat', 'reason', 'make', 'even', 'food', 'price', 'great']","['beat', 'reason', 'make', 'even', 'food', 'price', 'great']",food
Look foward to trying the Ruben upon returning.,"['tri', 'foward', 'upon', 'look', 'ruben', 'return']","['tri', 'foward', 'upon', 'look', 'ruben', 'return']",anecdotes/miscellaneous
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"['hous', 'candl', 'strip', 'seem', 'roth', 'hold', 'steakhous']","['hous', 'candl', 'strip', 'seem', 'roth', 'hold', 'steakhous']",anecdotes/miscellaneous
We usually go to the Chart House to celebrate a birthday or anniversary.,"['usual', 'celebr', 'hous', 'anniversari', 'chart', 'birthday', 'go']","['usual', 'celebr', 'hous', 'anniversari', 'chart', 'birthday', 'go']",anecdotes/miscellaneous
this little place has a cute interior decor and affordable city prices.,"['interior', 'decor', 'cute', 'afford', 'littl', 'citi', 'place', 'price']","['interior', 'decor', 'cute', 'afford', 'littl', 'citi', 'place', 'price']",ambience
You'll adore it.,['ador'],['ador'],anecdotes/miscellaneous
Two words: Free wine.,"['wine', 'two', 'word', 'free']","['wine', 'two', 'word', 'free']",price
The price is reasonable although the service is poor.,"['although', 'reason', 'poor', 'servic', 'price']","['although', 'reason', 'poor', 'servic', 'price']",service
"The quantity is also very good, you will come out satisfied.","['come', 'quantiti', 'also', 'good', 'satisfi']","['come', 'quantiti', 'also', 'good', 'satisfi']",food
I have been to Roth's twice and both times were very disappointing.,"['time', 'roth', 'twice', 'disappoint']","['time', 'roth', 'twice', 'disappoint']",anecdotes/miscellaneous
Worth visiting the 1st Ave spot because it is the original store.,"['ave', 'visit', 'st', 'store', 'worth', 'origin', 'spot']","['ave', 'visit', 'st', 'store', 'worth', 'origin', 'spot']",anecdotes/miscellaneous
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","['friday', 'lover', 'action', 'closer', 'sushi', 'town', 'two', 'stumbl', 'floor', 'friend', 'l', 'bar', 'seriou', 'upon', 'second', 'sit', 'ago', 'walk']","['friday', 'lover', 'action', 'closer', 'sushi', 'town', 'two', 'stumbl', 'floor', 'friend', 'l', 'bar', 'seriou', 'upon', 'second', 'sit', 'ago', 'walk']",anecdotes/miscellaneous
"Raga's is a romantic, cozy restaurant.","['romant', 'cozi', 'restaur', 'raga']","['romant', 'cozi', 'restaur', 'raga']",ambience
The fried rice is amazing here.,"['fri', 'rice', 'amaz']","['fri', 'rice', 'amaz']",food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","['mussel', 'world', 'includ', 'puff', 'delici', 'au', 'hanger', 'excel', 'choic', 'three', 'pastri', 'chees', 'salad', 'dress', 'cours', 'poivr', 'steak', 'goat']","['mussel', 'world', 'includ', 'puff', 'delici', 'au', 'hanger', 'excel', 'choic', 'three', 'pastri', 'chees', 'salad', 'dress', 'cours', 'poivr', 'steak', 'goat']",food
it's a perfect place to have a amanzing indian food.,"['place', 'perfect', 'indian', 'amanz', 'food']","['place', 'perfect', 'indian', 'amanz', 'food']",food
The place is so cool and the service is prompt and curtious.,"['prompt', 'curtiou', 'servic', 'cool', 'place']","['prompt', 'curtiou', 'servic', 'cool', 'place']",service
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"['leav', 'broth', 'slurp', 'mild', 'cup', 'end', 'noodl']","['leav', 'broth', 'slurp', 'mild', 'cup', 'end', 'noodl']",food
I just wonder how you can have such a delicious meal for such little money.,"['wonder', 'money', 'meal', 'littl', 'delici']","['wonder', 'money', 'meal', 'littl', 'delici']",price
The food was delicious but do not come here on a empty stomach.,"['come', 'stomach', 'delici', 'empti', 'food']","['come', 'stomach', 'delici', 'empti', 'food']",food
The wine list is excellent.,"['excel', 'list', 'wine']","['excel', 'list', 'wine']",food
so garantuan that you can't fit them in a toaster.,"['garantuan', 'toaster', 'fit']","['garantuan', 'toaster', 'fit']",food
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","['far', 'manhattan', 'restaur', 'best', 'ive', 'mom', 'except', 'mani', 'cours', 'thai', 'food', 'toon']","['far', 'manhattan', 'restaur', 'best', 'ive', 'mom', 'except', 'mani', 'cours', 'thai', 'food', 'toon']",food
They wouldnt even let me finish my glass of wine before offering another.,"['finish', 'wouldnt', 'anoth', 'even', 'offer', 'glass', 'let', 'wine']","['finish', 'wouldnt', 'anoth', 'even', 'offer', 'glass', 'let', 'wine']",service
I highly recommend the Sophia pizza.,"['sophia', 'pizza', 'highli', 'recommend']","['sophia', 'pizza', 'highli', 'recommend']",anecdotes/miscellaneous
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","['know', 'question', 'detail', 'special', 'whem', 'ask']","['know', 'question', 'detail', 'special', 'whem', 'ask']",service
This is a consistently great place to dine for lunch or dinner.,"['dine', 'place', 'consist', 'dinner', 'lunch', 'great']","['dine', 'place', 'consist', 'dinner', 'lunch', 'great']",anecdotes/miscellaneous
"Nice atmosphere, the service was very pleasant and the desert was good.","['pleasant', 'atmospher', 'nice', 'desert', 'servic', 'good']","['pleasant', 'atmospher', 'nice', 'desert', 'servic', 'good']",food
All the people that I bring there go back on their own and bring THEIR friends!,"['back', 'peopl', 'bring', 'friend', 'go']","['back', 'peopl', 'bring', 'friend', 'go']",anecdotes/miscellaneous
After really enjoying ourselves at the bar we sat down at a table and had dinner.,"['tabl', 'enjoy', 'dinner', 'sit', 'realli', 'bar']","['tabl', 'enjoy', 'dinner', 'sit', 'realli', 'bar']",anecdotes/miscellaneous
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","['atmospher', 'chill', 'environ', 'fabul', 'servic', 'food', 'fantast']","['atmospher', 'chill', 'environ', 'fabul', 'servic', 'food', 'fantast']",food
Not what I wanted to hear.,"['hear', 'want']","['hear', 'want']",anecdotes/miscellaneous
Try the lasagnette appetizer.,"['tri', 'appet', 'lasagnett']","['tri', 'appet', 'lasagnett']",food
"Pricey, but worth a try, at least once.","['worth', 'tri', 'pricey', 'least']","['worth', 'tri', 'pricey', 'least']",price
"I've been there a few times, and I usually end up sitting next to some pretty odd people.","['time', 'usual', 'odd', 'peopl', 'pretti', 'next', 'sit', 'end']","['time', 'usual', 'odd', 'peopl', 'pretti', 'next', 'sit', 'end']",anecdotes/miscellaneous
I liked the beer selection!,"['beer', 'like', 'select']","['beer', 'like', 'select']",food
"Great food, good size menu, great service and an unpretensious setting.","['size', 'menu', 'servic', 'set', 'good', 'unpretensi', 'food', 'great']","['size', 'menu', 'servic', 'set', 'good', 'unpretensi', 'food', 'great']",food
Go here for a romantic dinner but not for an all out wow dining experience.,"['wow', 'dinner', 'din', 'romant', 'go', 'experi']","['wow', 'dinner', 'din', 'romant', 'go', 'experi']",anecdotes/miscellaneous
Can't wait to go back.,"['go', 'back', 'wait']","['go', 'back', 'wait']",anecdotes/miscellaneous
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"['find', 'yet', 'bud', 'place', 'ny', 'dosa', 'eat', 'grow', 'satisfi', 'tast']","['find', 'yet', 'bud', 'place', 'ny', 'dosa', 'eat', 'grow', 'satisfi', 'tast']",anecdotes/miscellaneous
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"['list', 'top', 'fill', 'good', 'select', 'gener', 'glass', 'wine']","['list', 'top', 'fill', 'good', 'select', 'gener', 'glass', 'wine']",food
"With the great variety on the menu , I eat here often and never get bored .","['get', 'bore', 'menu', 'varieti', 'never', 'eat', 'often', 'great']","['get', 'bore', 'menu', 'varieti', 'never', 'eat', 'often', 'great']",food
The menu is very limited - i think we counted 4 or 5 entrees.,"['think', 'count', 'menu', 'entre', 'limit']","['think', 'count', 'menu', 'entre', 'limit']",food
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","['come', 'leav', 'ever', 'carnivor', 'hungri', 'satisfi']","['come', 'leav', 'ever', 'carnivor', 'hungri', 'satisfi']",anecdotes/miscellaneous
The menu is limited but almost all of the dishes are excellent.,"['excel', 'menu', 'almost', 'dish', 'limit']","['excel', 'menu', 'almost', 'dish', 'limit']",food
Not too crazy about their sake martini.,"['sake', 'crazi', 'martini']","['sake', 'crazi', 'martini']",food
"Great bagels, spreads and a good place to hang out in.","['hang', 'good', 'bagel', 'place', 'spread', 'great']","['hang', 'good', 'bagel', 'place', 'spread', 'great']",food
"The service varys from day to day- sometimes they're very nice, and sometimes not.","['vari', 'nice', 'servic', 'sometim', 'day']","['vari', 'nice', 'servic', 'sometim', 'day']",service
"whoever the jazz duo was, they were on POINT.","['point', 'jazz', 'duo', 'whoever']","['point', 'jazz', 'duo', 'whoever']",ambience
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"['tabl', 'like', 'pressur', 'ot', 'guest', 'one', 'give', 'incom', 'rush', 'never', 'place', 'thing', 'felt']","['tabl', 'like', 'pressur', 'ot', 'guest', 'one', 'give', 'incom', 'rush', 'never', 'place', 'thing', 'felt']",service
This place is a great bargain.,"['place', 'bargain', 'great']","['place', 'bargain', 'great']",price
We happened upon this place purely by accident and were pleased with the results.,"['accid', 'pleas', 'result', 'happen', 'upon', 'place', 'pure']","['accid', 'pleas', 'result', 'happen', 'upon', 'place', 'pure']",anecdotes/miscellaneous
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","['els', 'restaur', 'outstand', 'everyth', 'food', 'pit', 'unfortun']","['els', 'restaur', 'outstand', 'everyth', 'food', 'pit', 'unfortun']",food
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"['ill', 'new', 'also', 'bukhara', 'two', 'locat', 'deff', 'recimmend', 'tri', 'open', 'guess']","['ill', 'new', 'also', 'bukhara', 'two', 'locat', 'deff', 'recimmend', 'tri', 'open', 'guess']",anecdotes/miscellaneous
We always have a delicious meal and always leave feeling satisfied.,"['leav', 'feel', 'meal', 'alway', 'delici', 'satisfi']","['leav', 'feel', 'meal', 'alway', 'delici', 'satisfi']",food
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","['swirl', 'dip', 'ingredi', 'chopstick', 'around', 'eat']","['swirl', 'dip', 'ingredi', 'chopstick', 'around', 'eat']",food
First went here to enjoy their garden terrace.,"['terrac', 'first', 'enjoy', 'garden', 'go']","['terrac', 'first', 'enjoy', 'garden', 'go']",ambience
"My husbands was perfect, my was well done and dry.","['dri', 'husband', 'perfect', 'well', 'do']","['dri', 'husband', 'perfect', 'well', 'do']",food
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","['will', 'extra', 'mile', 'custom', 'speak', 'super', 'help', 'friendli', 'everyon']","['will', 'extra', 'mile', 'custom', 'speak', 'super', 'help', 'friendli', 'everyon']",service
The pizza was pretty good and huge.,"['pretti', 'pizza', 'good', 'huge']","['pretti', 'pizza', 'good', 'huge']",food
Sapphire is the only Indian restaurant I go to when I'm in NYC.,"['restaur', 'sapphir', 'indian', 'nyc', 'go']","['restaur', 'sapphir', 'indian', 'nyc', 'go']",anecdotes/miscellaneous
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","['taipei', 'gather', 'taiwanes', 'cuisin', 'accustom', 'though', 'differ', 'authent']","['taipei', 'gather', 'taiwanes', 'cuisin', 'accustom', 'though', 'differ', 'authent']",food
I heartily recommend.,"['heartili', 'recommend']","['heartili', 'recommend']",anecdotes/miscellaneous
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"['far', 'best', 'breweri', 'new', 'one', 'old', 'make', 'friend', 'heartland', 'nyc', 'place', 'catch']","['far', 'best', 'breweri', 'new', 'one', 'old', 'make', 'friend', 'heartland', 'nyc', 'place', 'catch']",anecdotes/miscellaneous
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"['hesitit', 'write', 'atmospher', 'crowd', 'becom', 'almost', 'would', 'hate', 'review', 'great']","['hesitit', 'write', 'atmospher', 'crowd', 'becom', 'almost', 'would', 'hate', 'review', 'great']",ambience
They are often crowded on the weekends but they are efficient and accurate with their service.,"['effici', 'crowd', 'accur', 'servic', 'weekend', 'often']","['effici', 'crowd', 'accur', 'servic', 'weekend', 'often']",service
All my co-workers were amazed at how small the dish was.,"['co', 'small', 'amaz', 'dish', 'worker']","['co', 'small', 'amaz', 'dish', 'worker']",food
"The atmosphere is unheralded, the service impecible, and the food magnificant.","['magnific', 'unherald', 'atmospher', 'servic', 'impec', 'food']","['magnific', 'unherald', 'atmospher', 'servic', 'impec', 'food']",food
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","['bone', 'order', 'grill', 'special', 'eat', 'branzino', 'infus', 'difficult']","['bone', 'order', 'grill', 'special', 'eat', 'branzino', 'infus', 'difficult']",food
"The wait staff is friendly, and the food has gotten better and better!","['get', 'staff', 'wait', 'better', 'friendli', 'food']","['get', 'staff', 'wait', 'better', 'friendli', 'food']",food
"This place, which is only a few months old, is perhaps Queens' biggest secret!","['perhap', 'month', 'biggest', 'old', 'place', 'queen', 'secret']","['perhap', 'month', 'biggest', 'old', 'place', 'queen', 'secret']",anecdotes/miscellaneous
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","['may', 'find', 'food', 'best', 'area', 'weekend', 'vibe', 'good', 'bite', 'french', 'pack']","['may', 'find', 'food', 'best', 'area', 'weekend', 'vibe', 'good', 'bite', 'french', 'pack']",food
This place is so much fun.,"['much', 'place', 'fun']","['much', 'place', 'fun']",anecdotes/miscellaneous
I was glad I did.,['glad'],['glad'],anecdotes/miscellaneous
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"['pizza', 'nice', 'cozi', 'brooklyn', 'l', 'good', 'place', 'right']","['pizza', 'nice', 'cozi', 'brooklyn', 'l', 'good', 'place', 'right']",food
I've never been treated so rudely.,"['treat', 'rude', 'never']","['treat', 'rude', 'never']",service
I'll be back soon.,"['back', 'soon']","['back', 'soon']",anecdotes/miscellaneous
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"['pinard', 'pre', 'le', 'theater', 'menu', 'outstand', 'pere']","['pinard', 'pre', 'le', 'theater', 'menu', 'outstand', 'pere']",food
Went inside and I started to get excited.,"['excit', 'get', 'insid', 'start', 'go']","['excit', 'get', 'insid', 'start', 'go']",anecdotes/miscellaneous
I also ordered for delivery and the restaurant forgot half the order.,"['half', 'restaur', 'order', 'also', 'forget', 'deliveri']","['half', 'restaur', 'order', 'also', 'forget', 'deliveri']",service
Our server checked on us maybe twice during the entire meal.,"['check', 'mayb', 'meal', 'server', 'us', 'twice', 'entir']","['check', 'mayb', 'meal', 'server', 'us', 'twice', 'entir']",service
"However, it is jus too good to not praise it.","['howev', 'prais', 'good', 'ju']","['howev', 'prais', 'good', 'ju']",anecdotes/miscellaneous
We have been to Montparnasse many times and return often for good reason.,"['montparnass', 'time', 'reason', 'mani', 'good', 'return', 'often']","['montparnass', 'time', 'reason', 'mani', 'good', 'return', 'often']",anecdotes/miscellaneous
The strong scents coming from the left and right of me negatively affected my taste buds.,"['come', 'affect', 'scent', 'leav', 'neg', 'bud', 'strong', 'right', 'tast']","['come', 'affect', 'scent', 'leav', 'neg', 'bud', 'strong', 'right', 'tast']",anecdotes/miscellaneous
We had the lobster sandwich and it was FANTASTIC.,"['sandwich', 'fantast', 'lobster']","['sandwich', 'fantast', 'lobster']",food
It's somewhere you can eat and be happy.,"['somewher', 'happi', 'eat']","['somewher', 'happi', 'eat']",anecdotes/miscellaneous
"If you wrote a bad review, it's because you don't understand what Rao's is all about.","['write', 'bad', 'review', 'rao', 'understand']","['write', 'bad', 'review', 'rao', 'understand']",anecdotes/miscellaneous
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","['come', 'could', 'yet', 'less', 'check', 'bring', 'hour', 'even', 'us', 'stall', 'understand']","['come', 'could', 'yet', 'less', 'check', 'bring', 'hour', 'even', 'us', 'stall', 'understand']",service
but overall i give it a 10,"['overal', 'give']","['overal', 'give']",anecdotes/miscellaneous
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","['may', 'worth', 'like', 'hang', 'pay', 'challeng', 'though', 'shell', 'crab', 'soft', 'well', 'look', 'roll', 'eat', 'price', 'spider']","['may', 'worth', 'like', 'hang', 'pay', 'challeng', 'though', 'shell', 'crab', 'soft', 'well', 'look', 'roll', 'eat', 'price', 'spider']",food
Deep Fried Skewers are good and still rare to find in NYC.,"['find', 'skewer', 'fri', 'good', 'nyc', 'still', 'deep', 'rare']","['find', 'skewer', 'fri', 'good', 'nyc', 'still', 'deep', 'rare']",food
"I have tried to make reservations, but both times, the hostess didn't have my name.","['time', 'reserv', 'name', 'host', 'make', 'tri']","['time', 'reserv', 'name', 'host', 'make', 'tri']",service
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"['also', 'conge', 'recommend', 'dish', 'varieti', 'differ', 'rice', 'porridg']","['also', 'conge', 'recommend', 'dish', 'varieti', 'differ', 'rice', 'porridg']",food
Their tuna tartar appetizer is to die for.,"['appet', 'tuna', 'tartar', 'die']","['appet', 'tuna', 'tartar', 'die']",food
This was one of the BEST restaurants I've ever been to.,"['ever', 'best', 'one', 'restaur']","['ever', 'best', 'one', 'restaur']",anecdotes/miscellaneous
This restaurant used to be pretty decent.,"['decent', 'pretti', 'restaur', 'use']","['decent', 'pretti', 'restaur', 'use']",anecdotes/miscellaneous
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","['chef', 'reach', 'fine', 'soup', 'dish', 'pinnacl', 'precis', 'food', 'though', 'execut', 'kitchen', 'often', 'new', 'fish', 'evid', 'american', 'somewhat', 'passion', 'cuisin', 'uneven', 'oasi', 'refin']","['chef', 'reach', 'fine', 'soup', 'dish', 'pinnacl', 'precis', 'food', 'though', 'execut', 'kitchen', 'often', 'new', 'fish', 'evid', 'american', 'somewhat', 'passion', 'cuisin', 'uneven', 'oasi', 'refin']",food
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","['artisan', 'love', 'chees', 'wine', 'fare', 'delici', 'french']","['artisan', 'love', 'chees', 'wine', 'fare', 'delici', 'french']",food
I love Indian food and consider myself to be quite an expert on it.,"['quit', 'consid', 'indian', 'expert', 'food', 'love']","['quit', 'consid', 'indian', 'expert', 'food', 'love']",food
Some baby pizzas get their wish.,"['get', 'babi', 'wish', 'pizza']","['get', 'babi', 'wish', 'pizza']",food
Plenty of choices to make your own creation.,"['make', 'choic', 'plenti', 'creation']","['make', 'choic', 'plenti', 'creation']",food
It was tiny and I felt like I was eating in someone's living room.,"['like', 'live', 'eat', 'someon', 'room', 'tini', 'felt']","['like', 'live', 'eat', 'someon', 'room', 'tini', 'felt']",ambience
I was there on sat.,['sit'],['sit'],anecdotes/miscellaneous
Overall A oh ya even though there is waiting it is deff worth it,"['though', 'even', 'deff', 'wait', 'oh', 'overal', 'worth', 'ya']","['though', 'even', 'deff', 'wait', 'oh', 'overal', 'worth', 'ya']",anecdotes/miscellaneous
The lava cake dessert was incredible and I recommend it.,"['dessert', 'cake', 'recommend', 'incred', 'lava']","['dessert', 'cake', 'recommend', 'incred', 'lava']",food
VT is what baby pizzas hope to be when they grow up.,"['pizza', 'babi', 'hope', 'vt', 'grow']","['pizza', 'babi', 'hope', 'vt', 'grow']",anecdotes/miscellaneous
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","['horribl', 'terribl', 'manag', 'unaccommod', 'servic', 'experi', 'overal', 'food', 'bland', 'mention']","['horribl', 'terribl', 'manag', 'unaccommod', 'servic', 'experi', 'overal', 'food', 'bland', 'mention']",food
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"['tasti', 'food', 'duck', 'like', 'lahor', 'late', 'finish', 'get', 'need', 'four', 'dollar', 'troubl', 'night', 'realli', 'cheap', 'amount', 'place', 'great']","['tasti', 'food', 'duck', 'like', 'lahor', 'late', 'finish', 'get', 'need', 'four', 'dollar', 'troubl', 'night', 'realli', 'cheap', 'amount', 'place', 'great']",food
The last time I went we were seated at a table in a corridor next to the kitchen.,"['tabl', 'time', 'corridor', 'seat', 'next', 'last', 'kitchen', 'go']","['tabl', 'time', 'corridor', 'seat', 'next', 'last', 'kitchen', 'go']",anecdotes/miscellaneous
good selection of wines ranging from affordable to high end.,"['afford', 'high', 'rang', 'win', 'good', 'select', 'end']","['afford', 'high', 'rang', 'win', 'good', 'select', 'end']",food
