lemmas,bigrams
"['wow', 'dinner', 'din', 'romant', 'go', 'experi']",romantic dinner;wow dining;dining experience;
"['go', 'back', 'wait']",n't wait;
"['find', 'yet', 'bud', 'place', 'ny', 'dosa', 'eat', 'grow', 'satisfi', 'tast']",eating dosa;
"['list', 'top', 'fill', 'good', 'select', 'gener', 'glass', 'wine']",wine list;generously filled;
"['get', 'bore', 'menu', 'varieti', 'never', 'eat', 'often', 'great']",great variety;i eat;here often;never get;
"['think', 'count', 'menu', 'entre', 'limit']",very limited;
"['come', 'leav', 'ever', 'carnivor', 'hungri', 'satisfi']",more satisfied;ever been;
"['excel', 'menu', 'almost', 'dish', 'limit']",
"['sake', 'crazi', 'martini']",not too;too crazy;
"['hang', 'good', 'bagel', 'place', 'spread', 'great']",great bagels;good place;
"['vari', 'nice', 'servic', 'sometim', 'day']",very nice;sometimes not;
"['point', 'jazz', 'duo', 'whoever']",
"['tabl', 'like', 'pressur', 'ot', 'guest', 'one', 'give', 'incom', 'rush', 'never', 'place', 'thing', 'felt']",never felt;table ot;ot incoming;
"['place', 'bargain', 'great']",great bargain;
"['accid', 'pleas', 'result', 'happen', 'upon', 'place', 'pure']",
"['els', 'restaur', 'outstand', 'everyth', 'food', 'pit', 'unfortun']",
"['ill', 'new', 'also', 'bukhara', 'two', 'locat', 'deff', 'recimmend', 'tri', 'open', 'guess']",deff recimmend;recimmend bukhara;also have;new locations;
"['leav', 'feel', 'meal', 'alway', 'delici', 'satisfi']",always have;delicious meal;always leave;
"['swirl', 'dip', 'ingredi', 'chopstick', 'around', 'eat']",
"['terrac', 'first', 'enjoy', 'garden', 'go']",first went;
"['dri', 'husband', 'perfect', 'well', 'do']",well done;
"['will', 'extra', 'mile', 'custom', 'speak', 'super', 'help', 'friendli', 'everyon']",super friendly;extra mile;
"['pretti', 'pizza', 'good', 'huge']",pretty good;
"['restaur', 'sapphir', 'indian', 'nyc', 'go']",only indian;indian restaurant;
"['taipei', 'gather', 'taiwanes', 'cuisin', 'accustom', 'though', 'differ', 'authent']",authentic taiwanese;very different;
"['heartili', 'recommend']",heartily recommend;
"['far', 'best', 'breweri', 'new', 'one', 'old', 'make', 'friend', 'heartland', 'nyc', 'place', 'catch']",best places;new friends;old ones;
"['hesitit', 'write', 'atmospher', 'crowd', 'becom', 'almost', 'would', 'hate', 'review', 'great']",so great;too become;
"['effici', 'crowd', 'accur', 'servic', 'weekend', 'often']",often crowded;
"['co', 'small', 'amaz', 'dish', 'worker']",
"['magnific', 'unherald', 'atmospher', 'servic', 'impec', 'food']",service impecible;
"['bone', 'order', 'grill', 'special', 'eat', 'branzino', 'infus', 'difficult']",grilled branzino;so infused;
"['get', 'staff', 'wait', 'better', 'friendli', 'food']",wait staff;
"['perhap', 'month', 'biggest', 'old', 'place', 'queen', 'secret']",few months;months old;biggest secret;
"['may', 'find', 'food', 'best', 'area', 'weekend', 'vibe', 'good', 'bite', 'french', 'pack']",best french;french food;
"['much', 'place', 'fun']",so much;much fun;
['glad'],glad i;
"['pizza', 'nice', 'cozi', 'brooklyn', 'l', 'good', 'place', 'right']",nice cozy;good pizza;
"['treat', 'rude', 'never']",never been;so rudely;
"['back', 'soon']",back soon;
"['pinard', 'pre', 'le', 'theater', 'menu', 'outstand', 'pere']",pere pinard;pinard has;
"['excit', 'get', 'insid', 'start', 'go']",
"['half', 'restaur', 'order', 'also', 'forget', 'deliveri']",also ordered;
"['check', 'mayb', 'meal', 'server', 'us', 'twice', 'entir']",maybe twice;entire meal;
"['howev', 'prais', 'good', 'ju']",too good;not praise;
"['montparnass', 'time', 'reason', 'mani', 'good', 'return', 'often']",many times;good reason;
"['come', 'affect', 'scent', 'leav', 'neg', 'bud', 'strong', 'right', 'tast']",strong scents;negatively affected;
"['sandwich', 'fantast', 'lobster']",
"['somewher', 'happi', 'eat']",
"['write', 'bad', 'review', 'rao', 'understand']",bad review;n't understand;
"['come', 'could', 'yet', 'less', 'check', 'bring', 'hour', 'even', 'us', 'stall', 'understand']",stalling i;there less;n't even;even brought;
"['overal', 'give']",overall i;
"['may', 'worth', 'like', 'hang', 'pay', 'challeng', 'though', 'shell', 'crab', 'soft', 'well', 'look', 'roll', 'eat', 'price', 'spider']",soft shell;
"['find', 'skewer', 'fri', 'good', 'nyc', 'still', 'deep', 'rare']",deep fried;fried skewers;still rare;
"['time', 'reserv', 'name', 'host', 'make', 'tri']",make reservations;n't have;
"['also', 'conge', 'recommend', 'dish', 'varieti', 'differ', 'rice', 'porridg']",also recommend;different varieties;
"['appet', 'tuna', 'tartar', 'die']",
"['ever', 'best', 'one', 'restaur']",best restaurants;ever been;
"['decent', 'pretti', 'restaur', 'use']",pretty decent;
"['chef', 'reach', 'fine', 'soup', 'dish', 'pinnacl', 'precis', 'food', 'though', 'execut', 'kitchen', 'often', 'new', 'fish', 'evid', 'american', 'somewhat', 'passion', 'cuisin', 'uneven', 'oasi', 'refin']",somewhat uneven;often reaches;new american;american fine;precise execution;most evident;fish dishes;
"['artisan', 'love', 'chees', 'wine', 'fare', 'delici', 'french']",delicious french;french fare;
"['quit', 'consid', 'indian', 'expert', 'food', 'love']",indian food;
"['get', 'babi', 'wish', 'pizza']",
"['make', 'choic', 'plenti', 'creation']",own creation;
"['like', 'live', 'eat', 'someon', 'room', 'tini', 'felt']",i felt;
['sit'],
"['though', 'even', 'deff', 'wait', 'oh', 'overal', 'worth', 'ya']",
"['dessert', 'cake', 'recommend', 'incred', 'lava']",lava cake;i recommend;
"['pizza', 'babi', 'hope', 'vt', 'grow']",pizzas hope;
"['horribl', 'terribl', 'manag', 'unaccommod', 'servic', 'experi', 'overal', 'food', 'bland', 'mention']",terrible service;overall experience;
"['tasti', 'food', 'duck', 'like', 'lahor', 'late', 'finish', 'get', 'need', 'four', 'dollar', 'troubl', 'night', 'realli', 'cheap', 'amount', 'place', 'great']",great place;really tasty;tasty food;likely have;have trouble;
"['tabl', 'time', 'corridor', 'seat', 'next', 'last', 'kitchen', 'go']",last time;time i;i went;
"['afford', 'high', 'rang', 'win', 'good', 'select', 'end']",good selection;high end;
"['decor', 'restaur', 'upscal', 'nice', 'classic', 'overal', 'italian']",nice restaurant;restaurant overall;classic upscale;upscale italian;italian decor;
"['food', 'impress']",not impressed;
"['wonder', 'experi', 'entir', 'din']",entire dining;
"['wonder', 'reserv', 'town', 'recommend', 'make', 'friend', 'alway', 'select', 'glass', 'go', 'wine', 'bottl']",always recommend;
"['delay', 'apolog', 'reserv', 'keep', 'seat', 'past', 'progress', 'us', 'servic', 'maitr', 'regularli', 'refin', 'minut', 'highli', 'appris']",highly refined;regularly kept;
"['fantast', 'panang', 'duck', 'order']",
"['usual', 'raw', 'wonder', 'order', 'ocasion', 'though', 'vegat', 'good', 'freshmess', 'food', 'side']",usually very;very good;ocasionally i;i wondered;raw vegatables;side orders;
"['two', 'individu', 'servic', 'crappi', 'great']",crappy service;
['ask'],
"['wonder', 'best', 'particular', 'one', 'establish', 'wait', 'line', 'form', 'deal', 'notic']",best deals;particular establishment;
"['price', 'indian', 'authent', 'amazin']",authentic indian;amazin prices;
"['treat', 'royal', 'like']",
"['small', 'nice', 'quiet', 'enough']",
"['relax', 'ambianc', 'stylish']",ambiance- relaxed;
"['month', 'jimmi', 'bronx', 'last', 'cafe', 'never', 'unwelcom', 'felt']",never felt;more unwelcome;last month;
"['duck', 'sea', 'salmon', 'bbq', 'room', 'crispi', 'luckili', 'save', 'bass']",saved room;crispy duck;
"['unless', 'get', 'right', 'fanci', 'know', 'crust', 'make', 'ingredi', 'ye', 'even', 'someon', 'good', 'use', 'pizza']",fancy ingredients;even fancy;fancy ingredients;n't make;good pizza;
"['outsid', 'wall', 'enter', 'one', 'would', 'realli', 'look', 'hesit', 'hole']",
"['dam', 'dal', 'bukhara', 'kabab', 'ye', 'good']",dal bukhara;so dam;dam good;so are;
"['look', 'eat', 'forward']",i look;here again;
"['come', 'back', 'child', 'alway', 'tast']",always come;
"['neighborhood', 'know', 'one', 'meal', 'fair', 'comfort', 'alway', 'price', 'tuk', 'good', 'joint']",comfortable neighborhood;always have;good meal;fair price;
"['mussel', 'happi', 'leap', 'lizard', 'prosecco', 'everyth', 'glass']",leaping lizard;had everything;everything happy;
"['aw', 'creme', 'brule', 'char', 'averag', 'kerosen', 'smell', 'sugar', 'caramel', 'food']",creme brulee;not caramelized;
"['fresh', 'serv', 'alway', 'food', 'promptli', 'tast']",always tastes;
"['know', 'nearbi', 'live']",i live;
"['delici', 'pizza']",here is;
"['horrifi', 'famili', 'entir']",entire family;
"['basi', 'get', 'togeth', 'night', 'friend', 'monthli', 'girl']",monthly basis;i get;
"['quit', 'knot', 'garlic', 'order', 'quick', 'well', 'alway', 'super', 'deliveri', 'pizza', 'often', 'great']",garlic knots;i order;quite often;always super;super quick;
"['chines', 'sichuan', 'liang', 'away', 'wu', 'grand', 'block', 'ye', 'nearbi', 'food', 'great']",great chinese;chinese food;liang ye;grand sichuan;
"['servic', 'anyth', 'say', 'murray']",says murray;is anything;
"['food', 'part', 'restaur', 'forget', 'import', 'realli', 'trendi', 'place']",really trendi;most important;important part;
"['disappoint', 'red', 'eye', 'never']",never been;red eye;
"['chef', 'hat']",
"['back', 'custom', 'away', 'room', 'do']",back room;
"['could', 'thing', 'restaur', 'heavi', 'one', 'import', 'littl', 'servic', 'seem', 'improv', 'overal', 'experi', 'black', 'place', 'teapot', 'antiqu', 'understand']",little things;antique-seeming teapot;
"['glad', 'luxuri', 'pay', 'custom', 'throw']",paying customers;
"['fresh', 'mozzarella', 'pizzaria', 'freez', 'chees', 'common', 'use', 'instead', 'cheap', 'delici', 'pizza', 'shred']",fresh mozzarella;shredded cheese;cheese common;most pizzaria;
"['best', 'new', 'excel', 'place', 'one', 'york', 'relax', 'citi', 'food']",excellent place;new york;
"['tabl', 'get', 'servic', 'problem', 'never', 'friendli', 'walk']",never had;
"['bistro', 'atmospher', 'crowd', 'type', 'vibe', 'great']",great bistro-type;bistro-type vibe;
['check'],
"['tabl', 'time', 'get', 'odd', 'restaur', 'order', 'first', 'saw', 'complet', 'unattent', 'waitress', 'wrong']",first off;completely unattentive;
['go'],n't go;
"['food', 'bland', 'oili']",
[],
"['afford', 'well', 'even', 'better', 'realli', 'good', 'food', 'price']",even better;very affordable;really good;
"['fresh', 'fish', 'noth', 'varieti', 'ordinari']",is nothing;
"['write', 'decent', 'tri', 'know', 'peopl', 'ever', 'pleas', 'look', 'dont', 'place', 'someoth', 'review']",look i;i dont;ever been;decent place;please try;someother places;
"['loyalti', 'suan', 'challeng']",
"['hous', 'salad', 'wine', 'meal', 'favorit', 'good', 'pesto', 'pizza', 'bottl']",favorite meal;pesto pizza;good bottle;
"['come', 'yet', 'best', 'manag', 'across', 'kruno', 'beverag', 'bartend']",best bartender;
"['ambianc', 'music', 'funki', 'enjoy']",
"['best', 'clearli', 'citi', 'servic', 'drink', 'among', 'food']",
"['food', 'date', 'late', 'reflesh', 'go', 'size', 'bite', 'afternoon']",i went;late afternoon;bite size;
"['get', 'dollar', 'consid', 'full', 'realli', 'four', 'deal', 'great']",really great;great deal;
"['five', 'maze', 'back', 'allur', 'complic', 'experi', 'come', 'waiter', 'star', 'ambianc', 'area', 'featur', 'sommlier', 'servic', 'romant', 'understand', 'tast', 'need', 'authent', 'captain', 'food', 'folk']",not come;alluring ambiance;complicated maze;authentic foods;
"['could', 'afford', 'go', 'take', 'person', 'mommi']",
"['chanc', 'friend', 'ny', 'refer', 'vacat']",
"['come', 'time', 'back', 'order', 'waitress', 'last', 'take', 'go']",last time;time i;i went;n't come;
"['tri', 'tandoori', 'salmon']",tandoori salmon;
"['complet', 'place', 'hook', 'ridicul']",completely hooked;
"['disappoint', 'atmospher', 'desk', 'experi', 'eat', 'save']",very disappointing;disappointing experience;
"['space', 'grant', 'smaller', 'find', 'best', 'restaur', 'servic', 'even', 'largest']",best service;
"['get', 'respons', 'recommend', 'friend', 'alway', 'good', 'place']",always gets;good response;
"['time', 'town', 'oasi', 'mani', 'return', 'mid']",many times;
"['peep', 'love', 'atmorpher']",atmorphere @;@ peep;
['enjoy'],
[],
"['favorit', 'restaur', 'one', 'miss']",favorite restaurants;
"['connect', 'restaur', 'la', 'door', 'swing', 'mexican', 'pacifico', 'rosa']",swinging door;mexican restaurant;
"['handl', 'better', 'could']",
"['mark', 'suggest', 'menu', 'servic', 'attent', 'item', 'right']",
"['could', 'three', 'meal', 'night', 'everyth', 'lick', 'would', 'cours', 'delici', 'plate', 'clean']",other night;
"['amex', 'cash', 'pleas', 'awar']",'s cash;
"['carri', 'get', 'rise', 'true', 'pizza', 'class', 'sal', 'forget', 'push', 'famou', 'smile', 'commun', 'outstand', 'even', 'father', 'let', 'love', 'ray', 'legaci', 'uncl']",no-class famous;famous ray;true love;not forget;outstanding pizza;
"['restaur', 'busi', 'cramp', 'earli', 'close', 'rather']",rather cramped;busy restaurant;
"['horribl', 'pathet', 'could', 'lie', 'environ', 'gabriella', 'servic', 'everyth', 'romant', 'food']",
"['tasti', 'crawfish', 'quit', 'boil', 'well', 'make', 'despit', 'ton', 'fun', 'mess']",quite tasty;as well;
"['month', 'coupl', 'advanc', 'reserv', 'high', 'make', 'occas', 'expect', 'special', 'place']",very high;high expectations;special occasion;
"['interior', 'serv', 'soft', 'fluffi', 'warm']",soft fluffy;
"['come', 'tabl', 'beyond', 'burn', 'stringi', 'recognit']",
"['thai', 'noodl', 'sticki', 'pad']",
"['time', 'actual', 'deliv', 'proper', 'never']",so i;i 've;never actually;actually been;i 've;few times;
"['far', 'restaur', 'best', 'new', 'avenu', 'th', 'money', 'one', 'offer', 'valu', 'among']",new 5th;5th avenue;best values;
"['compar', 'frankli', 'mcd', 'shop', 'sandwich', 'mani', 'comparison', 'citi', 'lunch', 'versu']",so many;many other;other sandwich;sandwich shops;
"['point', 'offens', 'rude', 'host']",
"['sake', 'stand', 'head', 'hous', 'build', 'outisd', 'across', 'especi', 'bar', 'roll', 'wait', 'street', 'crave', 'food', 'haru', 'great']",great food;n't stand;sake bar;
"['space', 'corridor', 'tile', 'small', 'stack', 'counter', 'white', 'can', 'three', 'lead', 'hold', 'entre', 'mess', 'tini', 'bottl', 'deal', 'narrow', 'great']",narrow corridor;tiny space;tiny white;white tiled;tiled counters;great deal;small counter;12-14 entrees;
"['food', 'great']",
"['succul', 'like', 'look', 'cook', 'kill', 'salad', 'desir', 'done', 'road', 'leafi', 'accompani', 'steak', 'side', 'precis']",desired 'doneness;n't look;leafy road;
"['come', 'slaw', 'extra', 'pickel', 'lunch', 'charg']",extra charge;
"['decent', 'price', 'wine', 'reason']",decent wine;reasonable prices;
"['conveni', 'door', 'deliv', 'right']",conveniently delivered;
"['glass', 'even', 'wine', 'good']",
"['famili', 'restaur', 'own', 'nice', 'tradit']",nice family;traditional restaurant;
"['terrac', 'club', 'water', 'would', 'sky', 'tri', 'rather', 'price']",rather tried;tried terrace;
"['get', 'tire', 'dish', 'favorit', 'alway', 'never', 'go']",always get;i go;never get;
"['world', 'order', 'also', 'mojito', 'chang']",also ordered;
"['okay', 'servic']",okay service;
"['wonder', 'servic', 'except', 'food', 'thing']",only thing;more wonderful;
"['pleasantli', 'surpris']",very pleasantly;pleasantly surprised;
"['aw', 'food', 'actual', 'atroci']",just awful;
"['visit', 'restaur', 'never']",never visit;
"['soup', 'soy', 'udon', 'sauc', 'water']",soy sauce;
"['main', 'anti', 'excel', 'pasta', 'especi', 'fill', 'calamari']",
"['food', 'suggest', 'go', 'well', 'glass', 'waitress', 'wine']",suggested glasses;very well;
"['sister', 'case']",
"['restaur', 'indian', 'differ', 'mani', 'eat']",many different;different indian;indian restaurants;
"['busi', 'order', 'counter', 'give', 'say', 'food', 'love', 'might']",says i;
"['sake', 'includ', 'sushi', 'particular', 'assort', 'choic', 'everi', 'pleas', 'crab', 'dumpl', 'two', 'type', 'sashimi', 'cevich', 'mix', 'special', 'banana', 'tempura', 'roll']",very particular;crab dumplings;assorted sashimi;
"['fresh', 'plain', 'garlic', 'eggplant', 'tri', 'pizza']",fresh garlic;
['go'],n't go;
"['small', 'get', 'effort', 'clueless', 'crowd', 'wander', 'fine', 'littl', 'server', 'make', 'attent', 'around', 'enough', 'ok']",little clueless;enough servers;just have;small effort;
"['tabl', 'luck', 'get', 'good']",good luck;
"['without', 'recommend', 'someon', 'sure', 'randomli', 'expect', 'pick']",n't sure;
"['look', 'like', 'nose']",n't look;
"['thai', 'planet', 'great']",
"['aw', 'servic']",
[],just do;n't do;
"['trendi', 'wannab', 'ignor']",just ignore;trendy wannabes;
"['expand', 'keep', 'eye', 'menu', 'dish', 'say', 'offer', 'wait', 'takeout', 'italian']",expanded menu;more italian;italian dishes;n't wait;
"['trust', 'time', 'devour', 'great']",
"['g', 'last', 'night', 'eat', 'girlfiend']",i ate;again last;last night;
"['everyday', 'near', 'offic', 'one', 'would', 'wish', 'go']",i wish;office- i;
['final'],
"['amma', 'money', 'worst', 'year', 'valu', 'nyc', 'past', 'experi']",worst value;
"['come', 'food', 'friend', 'take', 'thai', 'person', 'experi']",most experienced;experienced person;thai food;
"['think', 'pretti', 'overpric', 'overr', 'would', 'good', 'spot']",pretty good;good spot;not so;so overpriced;
"['five', 'whether', 'name', 'peopl', 'two', 'regardless', 'host', 'ahead', 'take', 'tell', 'hundr', 'minut']",hundred people;
"['pizza', 'good', 'though']",
"['wine', 'bottl', 'good', 'cheap']",
['disapoint'],not be;
"['riski', 'in', 'walk']",
"['happi', 'delici', 'guest', 'husband', 'beer', 'pumkin', 'recommend', 'make', 'thier', 'dish', 'differ', 'offer', 'must', 'tortelini', 'food']",different beers;thier guest;very happy;pumkin tortelini;
"['give', 'dinner', 'special', 'us', 'ask']",n't give;dinner special;
"['world', 'chocol', 'bread', 'lasagna', 'dessert', 'crabmeat', 'pud', 'must']",
"['word', 'leav', 'tiramisu', 'never', 'pasta', 'dish', 'room', 'advic', 'save']",save room;never leave;
"['servic', 'price', 'good']",very good;good service;very good;good prices;
"['co', 'time', 'restaur', 'lunch', 'amaz', 'recent', 'worker', 'go']",recently went;amazing time;
"['impecc', 'present', 'know', 'staff', 'need', 'meal', 'attend', 'menu', 'servic', 'unobtrus']",
"['far', 'best', 'town', 'sti', 'ess', 'either', 'ny', 'bagel', 'midtown']",best bagel;
"['food', 'great']",
"['get', 'late', 'ever', 'well', 'night', 'person', 'open']",well as;as late;ever got;
"['though', 'fact', 'drive', 'server', 'seem', 'train', 'revenu', 'thing', 'annoy']",most annoying;annoying thing;drive revenue;
"['find', 'get', 'back', 'bench', 'go', 'dumpl', 'kick', 'food', 'plate']",
"['tender', 'ever', 'pleas', 'mignon', 'filet', 'piec', 'tri']",most tender;tender piece;
"['pretti', 'everyth', 'good']",pretty good;only been;there once;
"['back', 'peopl', 'away', 'us', 'next', 'turn', 'bar', 'sit', 'say', 'take', 'drink', 'sangria', 'around', 'still', 'go', 'bartend', 'face']",still sitting;
"['parti', 'holiday', 'busi', 'someth']",holiday party;
"['sake', 'menu', 'overlook']",not be;
"['would', 'highli', 'recommend']",highly recommend;
"['place', 'great']",
"['half', 'pm', 'till', 'amaz', 'drink']",
"['time', 'back', 'nha', 'beef', 'liter', 'trang', 'good', 'cub', 'hundr']",nha trang;hundred times;
"['find', 'poor', 'excel', 'theater', 'mani', 'truli', 'experi', 'district']",so many;many poor;poor experiences;excellent find;
"['get', 'restaur', 'one', 'brooklyn', 'overr']",most overrated;overrated restaurants;
"['ambianc', 'deserv', 'outstand', 'servic', 'select', 'wine', 'recognit']",wine selection;deserve recognition;
"['anniverseri', 'year', 'last', 'night', 'impress', 'go']",last night;
"['pathet', 'seat', 'hour', 'take', 'us', 'rather']",rather pathetic;
"['reserv', 'seat', 'slow', 'servic', 'howev', 'promptli']",had reservations;
"['slightli', 'restaur', 'sushi', 'first', 'nyc', 'skeptic', 'middl']",first i;slightly skeptical;
"['waiter', 'also', 'servic', 'realli', 'good', 'friendli']",really also;
"['glad', 'heed', 'suan', 'recommend']",
"['small', 'includ', 'pretti', 'dessert', 'flavorless', 'littl', 'portion', 'good', 'food']",pretty good;little flavorless;very small;including dessert;
"['visit', 'month', 'least']",
"['far', 'small', 'nois', 'set', 'street', 'traffic']",small street;
"['come', 'like', 'famili', 'wild', 'also', 'loos', 'avoid', 'night', 'bother', 'children', 'run', 'anim', 'later', 'place', 'popular']",wild animals;
"['short', 'keep']",
"['eat', 'though', 'pari', 'felt']",
"['compar', 'restaur', 'think', 'flagship', 'live', 'green', 'bo', 'life', 'food', 'shanghai']",shanghai most;flagship green;green bo;
"['wonder', 'bart', 'st', 'recommend', 'servic', 'cafe', 'food', 'highli', 'ambienc']",highly recommend;recommend cafe;cafe st.;st. bart;wonderful service;
"['howev', 'worth', 'trip', 'special']",not worth;special trip;
"['nice', 'valu']",nice value;
"['enjoy', 'park', 'gigino', 'wagner']",so enjoyable;
"['quick', 'import']",very important;
"['meet', 'restaur', 'associ', 'busi', 'nice', 'host', 'dinner', 'good', 'look', 'place', 'intim']",nice restaurant;good place;
"['atmospher', 'young', 'nyu', 'make', 'place', 'love', 'fun', 'student']",nyu students;fun young;
"['name', 'servic', 'cantones', 'food', 'great']",here does;great service;
"['noth', 'stand', 'cook']",
"['decent', 'color', 'atmospher', 'joya', 'relax', 'cool', 'use', 'food', 'spot']",cool spot;decent food;not relaxed;
"['destroy', 'insid', 'mcdonald', 'problem', 'go']",
"['get', 'quantiti', 'qualiti', 'everi', 'penni', 'menu', 'fix', 'worth', 'enough', 'prix']",
"['time', 'one', 'favorit', 'citi', 'lunch']",
